"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37121","Mitchell County, North Carolina","145","150","76","84","20","27","20","27","0","19","0","19","0","19","56","61","23","33","33","31","0","19","33","31","69","72","40","52","40","52","0","19","0","19","0","19","29","26","11","19","18","20","2","3","16","20"
"0500000US37079","Greene County, North Carolina","524","252","292","144","133","84","133","84","0","23","0","23","0","23","159","76","53","43","106","48","13","19","93","44","232","143","57","57","57","57","0","23","0","23","0","23","175","96","21","22","154","95","36","31","118","90"
"0500000US37041","Chowan County, North Carolina","386","225","246","127","158","98","107","81","51","84","51","84","0","19","88","81","48","73","40","42","0","19","40","42","140","145","100","104","100","104","0","19","0","19","0","19","40","43","40","43","0","19","0","19","0","19"
"0500000US37027","Caldwell County, North Carolina","2875","424","1616","272","594","154","563","144","31","47","0","29","31","47","1022","167","156","102","866","170","137","91","729","162","1259","216","496","115","459","124","37","53","0","29","37","53","763","157","174","111","589","150","66","55","523","143"
"0500000US37035","Catawba County, North Carolina","9607","892","4826","495","1892","278","1815","290","77","59","0","29","77","59","2934","333","947","279","1987","265","442","161","1545","277","4781","498","1960","328","1893","325","67","60","0","29","67","60","2821","288","609","150","2212","281","481","147","1731","254"
"0500000US37049","Craven County, North Carolina","1955","529","1275","329","374","189","323","195","51","75","0","29","51","75","901","228","503","184","398","167","70","79","328","171","680","254","216","128","190","128","26","35","0","29","26","35","464","161","238","105","226","134","73","51","153","125"
"0500000US37065","Edgecombe County, North Carolina","1044","390","575","249","277","160","277","160","0","29","0","29","0","29","298","120","45","35","253","114","28","37","225","114","469","185","153","129","153","129","0","29","0","29","0","29","316","94","33","29","283","93","0","29","283","93"
"0500000US37085","Harnett County, North Carolina","7005","842","3915","471","1300","253","1221","238","79","71","46","64","33","30","2615","293","862","188","1753","215","439","129","1314","206","3090","455","1101","256","1039","249","62","43","0","29","62","43","1989","291","923","222","1066","180","293","99","773","173"
"0500000US37089","Henderson County, North Carolina","2808","774","1286","446","519","290","496","286","23","38","0","29","23","38","767","284","286","193","481","230","112","94","369","198","1522","518","814","380","814","380","0","29","0","29","0","29","708","230","412","172","296","137","96","69","200","120"
"0500000US37095","Hyde County, North Carolina","136","127","92","77","0","17","0","17","0","17","0","17","0","17","92","77","44","41","48","41","41","40","7","12","44","53","0","17","0","17","0","17","0","17","0","17","44","53","44","53","0","17","0","17","0","17"
"0500000US37119","Mecklenburg County, North Carolina","54331","2688","26985","1395","9679","866","8350","810","1329","336","96","70","1233","338","17306","903","3635","471","13671","840","2322","363","11349","839","27346","1554","10585","821","9633","813","952","235","154","83","798","217","16761","973","3787","476","12974","886","2776","351","10198","853"
"0500000US37131","Northampton County, North Carolina","91","69","51","36","8","14","8","14","0","23","0","23","0","23","43","29","26","22","17","23","0","23","17","23","40","45","3","12","3","12","0","23","0","23","0","23","37","39","21","32","16","25","2","3","14","24"
"0500000US37159","Rowan County, North Carolina","4723","974","2742","564","1098","325","1089","328","9","14","9","14","0","29","1644","335","533","171","1111","301","134","111","977","279","1981","510","994","289","921","270","73","116","0","29","73","116","987","266","286","133","701","251","169","104","532","213"
"0500000US37181","Vance County, North Carolina","814","356","431","205","167","114","143","117","24","29","24","29","0","26","264","139","16","20","248","140","113","102","135","95","383","202","131","118","120","112","11","20","0","26","11","20","252","131","90","88","162","137","60","64","102","83"
"0500000US37053","Currituck County, North Carolina","252","133","156","82","34","30","34","30","0","23","0","23","0","23","122","71","99","65","23","28","0","23","23","28","96","70","31","28","31","28","0","23","0","23","0","23","65","51","65","51","0","23","0","23","0","23"
"0500000US37179","Union County, North Carolina","3891","849","1791","376","740","211","707","206","33","35","16","26","17","25","1051","224","397","135","654","180","224","99","430","134","2100","554","771","298","705","293","66","52","21","34","45","42","1329","321","510","208","819","208","249","122","570","174"
"0500000US37067","Forsyth County, North Carolina","9979","1437","5131","885","2351","545","2142","547","209","121","30","41","179","110","2780","484","604","174","2176","439","508","215","1668","376","4848","706","1859","382","1669","360","190","88","79","62","111","78","2989","417","662","163","2327","382","682","202","1645","346"
"0500000US37127","Nash County, North Carolina","3322","573","1758","321","732","188","709","192","23","27","17","25","6","9","1026","222","345","110","681","198","198","99","483","163","1564","339","664","242","605","221","59","52","13","18","46","50","900","171","379","131","521","158","153","103","368","133"
"0500000US37017","Bladen County, North Carolina","1399","414","681","201","278","110","252","96","26","37","0","26","26","37","403","127","50","50","353","129","0","26","353","129","718","264","331","171","309","168","22","30","0","26","22","30","387","124","56","45","331","122","0","26","331","122"
"0500000US37055","Dare County, North Carolina","585","282","298","177","33","37","33","37","0","26","0","26","0","26","265","170","79","68","186","170","26","38","160","173","287","163","113","109","113","109","0","26","0","26","0","26","174","99","111","78","63","47","0","26","63","47"
"0500000US37185","Warren County, North Carolina","181","124","106","79","17","28","17","28","0","23","0","23","0","23","89","71","81","71","8","16","0","23","8","16","75","56","10","17","10","17","0","23","0","23","0","23","65","41","41","22","24","38","8","13","16","25"
"0500000US37195","Wilson County, North Carolina","4520","798","2675","481","1013","299","943","243","70","77","0","29","70","77","1662","293","428","146","1234","281","272","187","962","209","1845","394","684","214","664","213","20","33","0","29","20","33","1161","279","274","155","887","231","244","174","643","152"
"0500000US37015","Bertie County, North Carolina","148","105","66","48","13","26","13","26","0","19","0","19","0","19","53","38","8","16","45","33","0","19","45","33","82","72","59","47","59","47","0","19","0","19","0","19","23","32","11","16","12","17","0","19","12","17"
"0500000US37073","Gates County, North Carolina","10","14","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","10","14","0","19","0","19","0","19","0","19","0","19","10","14","10","14","0","19","0","19","0","19"
