"GEO_ID","NAME","B05003B_001E","B05003B_001M","B05003B_002E","B05003B_002M","B05003B_003E","B05003B_003M","B05003B_004E","B05003B_004M","B05003B_005E","B05003B_005M","B05003B_006E","B05003B_006M","B05003B_007E","B05003B_007M","B05003B_008E","B05003B_008M","B05003B_009E","B05003B_009M","B05003B_010E","B05003B_010M","B05003B_011E","B05003B_011M","B05003B_012E","B05003B_012M","B05003B_013E","B05003B_013M","B05003B_014E","B05003B_014M","B05003B_015E","B05003B_015M","B05003B_016E","B05003B_016M","B05003B_017E","B05003B_017M","B05003B_018E","B05003B_018M","B05003B_019E","B05003B_019M","B05003B_020E","B05003B_020M","B05003B_021E","B05003B_021M","B05003B_022E","B05003B_022M","B05003B_023E","B05003B_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37175","Transylvania County, North Carolina","1523","199","788","116","197","113","197","113","0","26","0","26","0","26","591","111","562","115","29","31","0","26","29","31","735","175","132","82","132","82","0","26","0","26","0","26","603","140","579","149","24","35","24","35","0","26"
"0500000US37047","Columbus County, North Carolina","17396","217","8810","157","2033","119","2033","119","0","29","0","29","0","29","6777","109","6661","161","116","136","21","33","95","134","8586","105","1954","85","1954","85","0","29","0","29","0","29","6632","43","6548","121","84","116","31","39","53","79"
"0500000US37123","Montgomery County, North Carolina","4922","256","2360","172","632","139","632","139","0","23","0","23","0","23","1728","85","1701","86","27","36","11","15","16","26","2562","169","391","125","391","125","0","23","0","23","0","23","2171","106","2171","106","0","23","0","23","0","23"
"0500000US37153","Richmond County, North Carolina","14351","133","6907","85","1842","71","1842","71","0","26","0","26","0","26","5065","67","5059","65","6","11","0","26","6","11","7444","82","1798","69","1798","69","0","26","0","26","0","26","5646","39","5626","50","20","32","20","32","0","26"
"0500000US37171","Surry County, North Carolina","2719","169","1089","87","88","59","88","59","0","29","0","29","0","29","1001","58","945","84","56","51","54","51","2","5","1630","152","544","124","544","124","0","29","0","29","0","29","1086","67","1035","67","51","42","29","27","22","33"
"0500000US37021","Buncombe County, North Carolina","16095","652","7904","415","2034","357","2011","363","23","31","23","31","0","29","5870","168","5760","170","110","75","76","71","34","39","8191","347","1800","273","1741","282","59","59","59","59","0","29","6391","174","6063","240","328","166","153","114","175","103"
"0500000US37025","Cabarrus County, North Carolina","35634","663","16526","323","5305","252","5233","238","72","85","72","85","0","29","11221","185","10512","270","709","247","509","197","200","171","19108","482","5094","315","5094","315","0","29","0","29","0","29","14014","262","12885","393","1129","355","830","317","299","168"
"0500000US37057","Davidson County, North Carolina","14970","538","7141","258","1730","207","1730","207","0","29","0","29","0","29","5411","121","5322","135","89","70","89","70","0","29","7829","334","1657","222","1657","222","0","29","0","29","0","29","6172","178","6069","202","103","71","49","38","54","51"
"0500000US37091","Hertford County, North Carolina","14377","249","6912","151","1465","87","1451","81","14","21","14","21","0","23","5447","118","5344","128","103","52","38","30","65","43","7465","176","1495","106","1495","106","0","23","0","23","0","23","5970","98","5925","94","45","30","39","30","6","6"
"0500000US37141","Pender County, North Carolina","8788","348","4139","252","836","170","836","170","0","29","0","29","0","29","3303","132","3289","132","14","22","5","8","9","15","4649","191","934","151","934","151","0","29","0","29","0","29","3715","113","3691","116","24","26","24","26","0","29"
"0500000US37189","Watauga County, North Carolina","900","126","535","100","47","47","47","47","0","29","0","29","0","29","488","82","442","90","46","50","46","50","0","29","365","95","28","27","28","27","0","29","0","29","0","29","337","95","316","103","21","31","0","29","21","31"
"0500000US37177","Tyrrell County, North Carolina","1550","216","916","126","55","37","55","37","0","12","0","12","0","12","861","120","861","120","0","12","0","12","0","12","634","129","116","67","116","67","0","12","0","12","0","12","518","105","518","105","0","12","0","12","0","12"
"0400000US37","North Carolina","2179622","5653","1020575","3178","267548","2141","264265","2123","3283","586","842","234","2441","566","753027","2008","720322","2521","32705","1653","17564","1202","15141","1151","1159047","3516","257999","2169","254895","2249","3104","519","1222","309","1882","387","901048","2101","868586","2602","32462","1686","18650","1263","13812","1124"
