"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M"
"0500000US37095","Hyde County, North Carolina","3178","228","1503","155","273","82","273","82","0","17","0","17","0","17","1230","125","1230","125","0","17","0","17","0","17","1675","164","406","93","406","93","0","17","0","17","0","17","1269","131","1269","131","0","17","0","17","0","17"
"0500000US37119","Mecklenburg County, North Carolina","498733","439","243641","233","47552","57","46791","208","761","208","225","108","536","182","196089","212","184794","777","11295","697","6273","537","5022","496","255092","265","45756","131","44822","277","934","243","316","148","618","234","209336","221","198096","842","11240","792","6197","577","5043","536"
"0500000US37131","Northampton County, North Carolina","7805","23","3859","23","554","23","554","23","0","23","0","23","0","23","3305","23","3243","85","62","85","8","9","54","83","3946","23","495","23","495","23","0","23","0","23","0","23","3451","23","3365","76","86","76","4","6","82","76"
"0500000US37159","Rowan County, North Carolina","101058","90","49695","88","10005","88","10005","88","0","29","0","29","0","29","39690","12","39411","107","279","107","161","87","118","62","51363","19","9370","9","9340","27","30","26","13","20","17","14","41993","17","41713","124","280","126","125","66","155","100"
"0500000US37181","Vance County, North Carolina","17801","39","8483","22","1546","26","1546","26","0","26","0","26","0","26","6937","22","6857","62","80","58","28","28","52","50","9318","18","1468","18","1457","26","11","19","11","19","0","26","7850","26","7782","50","68","50","42","42","26","31"
"0500000US37053","Currituck County, North Carolina","22492","74","11149","59","2386","18","2386","18","0","23","0","23","0","23","8763","57","8631","146","132","128","8","13","124","128","11343","31","2384","17","2384","17","0","23","0","23","0","23","8959","16","8842","75","117","72","82","58","35","41"
"0500000US37179","Union County, North Carolina","164562","164","81006","121","21106","109","20753","230","353","204","189","141","164","143","59900","35","57281","383","2619","383","1785","317","834","191","83556","85","20065","51","19894","109","171","100","95","72","76","72","63491","70","60998","376","2493","382","1602","294","891","238"
"0500000US37067","Forsyth County, North Carolina","211844","343","100966","259","19284","82","19232","87","52","43","0","29","52","43","81682","236","79903","358","1779","271","935","197","844","173","110878","164","18353","44","18231","74","122","63","82","51","40","46","92525","149","90406","330","2119","309","1303","238","816","195"
"0500000US37127","Nash County, North Carolina","47356","38","23047","19","4377","19","4377","19","0","29","0","29","0","29","18670","29","18551","70","119","70","38","41","81","60","24309","39","4178","4","4128","63","50","64","0","29","50","64","20131","39","19859","140","272","140","147","87","125","94"
"0500000US37017","Bladen County, North Carolina","18466","20","8948","26","1627","26","1627","26","0","26","0","26","0","26","7321","26","7292","33","29","33","10","10","19","31","9518","20","1562","26","1560","4","2","4","2","4","0","26","7956","20","7934","28","22","21","10","13","12","16"
"0500000US37055","Dare County, North Carolina","31294","51","15357","25","2719","22","2712","26","7","14","0","26","7","14","12638","14","12471","72","167","76","148","76","19","18","15937","26","2626","26","2626","26","0","26","0","26","0","26","13311","26","13074","90","237","84","93","52","144","63"
"0500000US37185","Warren County, North Carolina","7676","23","3916","88","573","88","572","88","1","3","1","3","0","23","3343","23","3298","51","45","51","45","51","0","23","3760","88","440","88","440","88","0","23","0","23","0","23","3320","23","3215","71","105","71","103","70","2","3"
"0500000US37195","Wilson County, North Carolina","38386","361","18313","195","3448","36","3442","37","6","11","0","29","6","11","14865","185","14630","217","235","117","165","116","70","50","20073","172","3309","29","3302","12","7","12","0","29","7","12","16764","172","16514","229","250","122","172","89","78","76"
"0500000US37015","Bertie County, North Carolina","6735","58","3338","61","486","43","486","43","0","19","0","19","0","19","2852","32","2852","32","0","19","0","19","0","19","3397","41","438","41","438","41","0","19","0","19","0","19","2959","19","2954","7","5","7","2","4","3","5"
"0500000US37073","Gates County, North Carolina","7288","19","3566","42","710","42","710","42","0","19","0","19","0","19","2856","19","2856","19","0","19","0","19","0","19","3722","42","773","42","773","42","0","19","0","19","0","19","2949","19","2930","22","19","22","9","14","10","18"
"0500000US37075","Graham County, North Carolina","7428","17","3667","17","726","17","726","17","0","17","0","17","0","17","2941","17","2936","6","5","6","5","6","0","17","3761","17","653","17","653","17","0","17","0","17","0","17","3108","17","3103","8","5","8","5","8","0","17"
"0500000US37117","Martin County, North Carolina","12003","17","5723","23","1036","23","1036","23","0","23","0","23","0","23","4687","23","4667","21","20","21","14","20","6","8","6280","17","1086","23","1086","23","0","23","0","23","0","23","5194","17","5145","40","49","38","44","37","5","8"
"0500000US37115","Madison County, North Carolina","20140","23","9864","23","1910","23","1910","23","0","23","0","23","0","23","7954","23","7868","54","86","54","31","31","55","39","10276","23","1739","23","1739","23","0","23","0","23","0","23","8537","23","8426","82","111","82","96","80","15","18"
"0500000US37137","Pamlico County, North Carolina","9458","28","4738","18","702","14","694","19","8","12","0","19","8","12","4036","12","3967","35","69","36","37","33","32","27","4720","13","661","19","661","19","0","19","0","19","0","19","4059","13","4002","39","57","37","55","37","2","4"
"0500000US37143","Perquimans County, North Carolina","9704","18","4674","66","785","66","785","66","0","19","0","19","0","19","3889","19","3819","41","70","41","51","38","19","21","5030","62","906","62","906","62","0","19","0","19","0","19","4124","19","4020","54","104","54","52","38","52","53"
"0500000US37149","Polk County, North Carolina","17543","538","8265","351","1122","282","1122","282","0","23","0","23","0","23","7143","73","7031","96","112","53","66","44","46","33","9278","191","1217","134","1217","134","0","23","0","23","0","23","8061","61","7931","82","130","53","92","42","38","29"
"0500000US37151","Randolph County, North Carolina","113446","171","55380","105","11426","58","11325","127","101","111","35","43","66","102","43954","81","43632","175","322","138","189","97","133","101","58066","99","10842","57","10796","68","46","45","13","20","33","51","47224","45","46881","115","343","111","131","68","212","91"
"0500000US37157","Rockingham County, North Carolina","66181","129","31970","52","6247","50","6247","50","0","29","0","29","0","29","25723","17","25558","95","165","92","131","84","34","33","34211","99","5858","58","5857","58","1","3","1","3","0","29","28353","69","28118","113","235","93","132","64","103","72"
"0500000US37169","Stokes County, North Carolina","41883","75","20447","16","4049","16","4049","16","0","26","0","26","0","26","16398","26","16340","34","58","34","35","27","23","24","21436","60","3788","34","3778","38","10","17","0","26","10","17","17648","31","17553","72","95","64","59","41","36","48"
"0500000US37187","Washington County, North Carolina","5404","56","2607","68","417","68","417","68","0","19","0","19","0","19","2190","19","2190","19","0","19","0","19","0","19","2797","88","349","69","349","69","0","19","0","19","0","19","2448","35","2440","37","8","12","0","19","8","12"
"0500000US37029","Camden County, North Carolina","8400","19","4183","19","954","19","954","19","0","19","0","19","0","19","3229","19","3229","19","0","19","0","19","0","19","4217","19","948","19","948","19","0","19","0","19","0","19","3269","19","3186","53","83","53","49","45","34","29"
"0500000US37043","Clay County, North Carolina","10133","19","4862","93","801","93","801","93","0","19","0","19","0","19","4061","19","3969","65","92","65","46","39","46","51","5271","93","865","93","865","93","0","19","0","19","0","19","4406","19","4306","66","100","66","45","38","55","53"
"0500000US37051","Cumberland County, North Carolina","146144","176","75708","127","15201","57","15145","80","56","54","43","49","13","20","60507","111","59376","265","1131","228","692","159","439","171","70436","76","14627","22","14544","94","83","93","57","80","26","28","55809","66","52948","333","2861","327","1643","244","1218","201"
"0500000US37071","Gaston County, North Carolina","158164","359","76533","168","15837","98","15756","100","81","47","35","26","46","40","60696","96","59868","208","828","186","422","127","406","144","81631","210","15178","137","15120","151","58","54","42","46","16","25","66453","79","65677","170","776","137","495","126","281","96"
"0500000US37081","Guilford County, North Carolina","266383","334","127562","181","23213","101","22929","148","284","107","52","33","232","108","104349","139","99982","557","4367","518","2423","416","1944","391","138821","193","22128","137","21831","179","297","116","63","48","234","109","116693","135","112619","488","4074","454","2508","367","1566","263"
"0500000US37099","Jackson County, North Carolina","34202","63","16633","43","2485","8","2485","8","0","26","0","26","0","26","14148","42","14094","59","54","42","40","38","14","18","17569","29","2328","9","2328","9","0","26","0","26","0","26","15241","23","15065","109","176","108","96","59","80","85"
"0500000US37125","Moore County, North Carolina","73821","67","35539","42","6959","15","6941","30","18","26","18","26","0","29","28580","40","28200","123","380","113","317","112","63","37","38282","38","6678","29","6661","26","17","26","17","26","0","29","31604","38","30934","186","670","176","569","164","101","59"
"0500000US37155","Robeson County, North Carolina","34012","74","16298","56","2829","25","2808","33","21","23","0","29","21","23","13469","52","13273","90","196","82","96","50","100","66","17714","39","2708","37","2708","37","0","29","0","29","0","29","15006","7","14828","79","178","78","106","54","72","54"
"0500000US37167","Stanly County, North Carolina","49409","108","24403","41","5003","29","4976","39","27","39","27","39","0","29","19400","41","19341","73","59","60","55","60","4","7","25006","67","4633","67","4633","67","0","29","0","29","0","29","20373","29","20221","90","152","90","120","91","32","20"
"0500000US37183","Wake County, North Carolina","631197","650","309794","429","67304","341","66403","410","901","219","366","120","535","180","242490","193","229355","849","13135","826","7521","636","5614","601","321403","304","64809","122","63752","315","1057","264","466","177","591","192","256594","243","243819","920","12775","915","7074","506","5701","683"
"0500000US37199","Yancey County, North Carolina","16360","19","7990","19","1456","19","1456","19","0","19","0","19","0","19","6534","19","6484","43","50","43","40","41","10","15","8370","19","1322","19","1322","19","0","19","0","19","0","19","7048","19","7001","27","47","27","34","22","13","15"
"0500000US37037","Chatham County, North Carolina","49922","172","23773","114","4059","113","4059","113","0","29","0","29","0","29","19714","19","19249","139","465","137","383","131","82","42","26149","67","4070","42","4060","45","10","15","0","29","10","15","22079","50","21568","147","511","138","393","120","118","73"
"0500000US37111","McDowell County, North Carolina","39462","253","19483","124","3827","42","3827","42","0","26","0","26","0","26","15656","83","15550","120","106","78","63","52","43","48","19979","130","3438","77","3430","79","8","12","0","26","8","12","16541","56","16393","99","148","72","118","65","30","35"
"0500000US37101","Johnston County, North Carolina","130482","119","63432","103","15089","94","15089","94","0","29","0","29","0","29","48343","47","47538","273","805","271","396","156","409","211","67050","41","14197","32","14112","118","85","115","1","2","84","115","52853","14","51841","351","1012","352","247","107","765","347"
"0500000US37103","Jones County, North Carolina","6041","17","2994","17","554","17","554","17","0","17","0","17","0","17","2440","17","2438","4","2","4","0","17","2","4","3047","17","523","17","523","17","0","17","0","17","0","17","2524","17","2507","14","17","14","15","14","2","3"
"0500000US37145","Person County, North Carolina","26088","22","12689","26","2613","26","2593","30","20","30","20","30","0","26","10076","26","9969","77","107","77","41","45","66","58","13399","22","2439","3","2439","3","0","26","0","26","0","26","10960","23","10818","103","142","100","19","25","123","94"
"0500000US37019","Brunswick County, North Carolina","103713","112","49709","55","7420","29","7410","17","10","17","0","29","10","17","42289","55","41330","241","959","231","742","231","217","87","54004","100","6862","98","6862","98","0","29","0","29","0","29","47142","36","46183","189","959","186","710","161","249","91"
"0500000US37009","Ashe County, North Carolina","24800","23","12014","23","2144","23","2095","68","49","68","49","68","0","23","9870","23","9811","38","59","38","48","34","11","14","12786","23","2119","23","2106","22","13","22","13","22","0","23","10667","23","10594","55","73","55","73","55","0","23"
"0500000US37013","Beaufort County, North Carolina","31094","35","15011","13","2641","26","2641","26","0","26","0","26","0","26","12370","13","12208","64","162","62","115","55","47","34","16083","24","2507","18","2507","18","0","26","0","26","0","26","13576","14","13367","89","209","88","168","78","41","33"
"0500000US37107","Lenoir County, North Carolina","28294","29","13624","29","2616","29","2616","29","0","29","0","29","0","29","11008","29","10966","38","42","38","10","15","32","33","14670","29","2448","29","2448","29","0","29","0","29","0","29","12222","29","12155","45","67","45","58","45","9","14"
"0500000US37161","Rutherford County, North Carolina","55513","35","26801","29","5402","29","5402","29","0","29","0","29","0","29","21399","29","21239","87","160","79","144","77","16","20","28712","20","5137","20","5136","20","1","3","1","3","0","29","23575","29","23305","118","270","118","199","100","71","43"
"0500000US37109","Lincoln County, North Carolina","69273","100","34283","85","7118","59","7110","60","8","11","8","11","0","29","27165","66","26944","116","221","98","152","86","69","45","34990","63","6599","62","6589","64","10","16","10","16","0","29","28391","13","28039","125","352","124","234","107","118","57"
"0500000US37133","Onslow County, North Carolina","128818","157","72185","108","14383","105","14367","112","16","25","0","29","16","25","57802","29","57152","275","650","272","557","262","93","64","56633","78","13825","37","13815","41","10","15","0","29","10","15","42808","67","42120","233","688","251","447","139","241","188"
"0500000US37135","Orange County, North Carolina","99124","120","47241","83","8525","39","8378","85","147","80","69","43","78","65","38716","71","36549","279","2167","263","1101","200","1066","209","51883","71","7978","57","7863","98","115","77","6","10","109","77","43905","43","41600","354","2305","348","1295","241","1010","233"
"0500000US37163","Sampson County, North Carolina","32569","29","15779","29","3120","29","3120","29","0","29","0","29","0","29","12659","29","12614","39","45","39","40","37","5","11","16790","29","2943","29","2943","29","0","29","0","29","0","29","13847","29","13809","32","38","32","28","30","10","9"
"0500000US37197","Yadkin County, North Carolina","31807","25","15549","25","3019","25","2986","61","33","53","33","53","0","26","12530","26","12492","46","38","46","27","41","11","17","16258","26","2770","26","2770","26","0","26","0","26","0","26","13488","26","13449","31","39","31","30","28","9","16"
"0500000US37011","Avery County, North Carolina","15298","244","7961","189","1167","74","1164","75","3","6","3","6","0","19","6794","187","6683","187","111","61","59","42","52","35","7337","125","1160","28","1160","28","0","19","0","19","0","19","6177","120","6148","127","29","21","10","7","19","18"
"0500000US37023","Burke County, North Carolina","73269","85","35746","50","6389","22","6365","40","24","35","0","29","24","35","29357","50","29261","77","96","64","58","47","38","45","37523","63","6062","40","6029","54","33","39","8","14","25","37","31461","48","31262","97","199","89","133","66","66","51"
"0500000US37033","Caswell County, North Carolina","13913","23","6967","23","1293","23","1293","23","0","23","0","23","0","23","5674","23","5616","60","58","60","27","40","31","46","6946","23","1233","23","1233","23","0","23","0","23","0","23","5713","23","5690","25","23","25","12","18","11","18"
"0500000US37059","Davie County, North Carolina","35562","26","17335","26","3583","26","3583","26","0","26","0","26","0","26","13752","26","13606","93","146","93","38","35","108","85","18227","26","3313","26","3269","71","44","71","0","26","44","71","14914","26","14748","107","166","107","120","98","46","49"
"0500000US37061","Duplin County, North Carolina","30570","29","14792","29","2813","29","2813","29","0","29","0","29","0","29","11979","29","11893","53","86","53","54","39","32","36","15778","29","2679","29","2679","29","0","29","0","29","0","29","13099","29","12992","69","107","69","107","69","0","29"
"0500000US37063","Durham County, North Carolina","129434","163","62040","63","9820","36","9715","75","105","75","14","23","91","71","52220","51","49361","373","2859","372","1414","310","1445","305","67394","127","9190","75","9039","118","151","103","0","29","151","103","58204","90","55264","430","2940","400","1400","272","1540","291"
"0500000US37105","Lee County, North Carolina","34901","80","16949","43","3347","25","3334","30","13","20","13","20","0","29","13602","22","13426","91","176","85","98","67","78","52","17952","45","3133","48","3133","48","0","29","0","29","0","29","14819","27","14576","104","243","102","183","92","60","40"
"0500000US37129","New Hanover County, North Carolina","172855","148","82853","45","14191","36","14162","50","29","34","18","29","11","18","68662","26","66697","362","1965","355","1251","269","714","199","90002","125","13462","9","13412","42","50","41","13","22","37","43","76540","125","74165","378","2375","338","1563","303","812","194"
"0500000US37191","Wayne County, North Carolina","66640","120","33170","66","6586","22","6487","100","99","96","79","95","20","31","26584","61","26075","193","509","174","359","164","150","94","33470","70","6139","37","6051","85","88","76","40","48","48","65","27331","56","26625","179","706","171","341","115","365","164"
"0500000US37165","Scotland County, North Carolina","15376","7","7524","3","1439","3","1439","3","0","26","0","26","0","26","6085","26","5991","63","94","63","63","50","31","36","7852","4","1247","26","1247","26","0","26","0","26","0","26","6605","4","6536","47","69","46","25","24","44","39"
"0500000US37083","Halifax County, North Carolina","19937","29","9667","29","1763","29","1763","29","0","29","0","29","0","29","7904","29","7872","27","32","27","32","27","0","29","10270","29","1715","29","1715","29","0","29","0","29","0","29","8555","29","8445","71","110","71","77","61","33","35"
"0500000US37001","Alamance County, North Carolina","103713","93","49237","28","9622","29","9572","45","50","45","0","29","50","45","39615","28","38947","202","668","199","461","180","207","79","54476","88","8955","29","8882","86","73","86","0","29","73","86","45521","88","44692","312","829","288","458","160","371","179"
"0500000US37087","Haywood County, North Carolina","56133","66","26959","37","4988","37","4945","77","43","66","0","29","43","66","21971","29","21762","72","209","72","135","52","74","52","29174","29","4652","29","4652","29","0","29","0","29","0","29","24522","29","24227","118","295","118","199","100","96","58"
"0500000US37005","Alleghany County, North Carolina","9548","19","4624","19","711","19","711","19","0","19","0","19","0","19","3913","19","3913","19","0","19","0","19","0","19","4924","19","730","19","730","19","0","19","0","19","0","19","4194","19","4177","16","17","16","14","14","3","6"
"0500000US37045","Cleveland County, North Carolina","70967","242","34395","119","7015","117","6968","128","47","40","20","32","27","33","27380","15","27184","99","196","96","94","72","102","53","36572","126","6710","52","6693","55","17","22","3","10","14","21","29862","75","29661","130","201","110","100","69","101","81"
"0500000US37077","Granville County, North Carolina","34254","38","17304","25","3311","29","3277","51","34","51","34","51","0","29","13993","25","13857","71","136","65","92","58","44","34","16950","29","3008","29","3002","10","6","10","0","29","6","10","13942","29","13635","123","307","120","231","113","76","52"
"0500000US37093","Hoke County, North Carolina","21465","65","10900","29","2724","29","2714","16","10","16","10","16","0","29","8176","29","8107","60","69","60","49","50","20","29","10565","65","2553","65","2528","70","25","39","25","39","0","29","8012","29","7775","94","237","94","108","72","129","79"
"0500000US37097","Iredell County, North Carolina","131544","151","64960","94","14127","49","14094","59","33","29","33","29","0","29","50833","76","49998","190","835","170","389","97","446","152","66584","71","13409","36","13404","37","5","9","5","9","0","29","53175","59","52129","251","1046","245","606","140","440","209"
"0500000US37147","Pitt County, North Carolina","96999","529","46660","191","8307","190","8274","192","33","41","14","23","19","32","38353","23","37690","197","663","200","377","176","286","92","50339","410","7495","176","7474","177","21","26","14","24","7","11","42844","325","42113","402","731","197","318","143","413","148"
"0500000US37039","Cherokee County, North Carolina","25251","37","12239","27","2147","23","2147","23","0","23","0","23","0","23","10092","27","9948","73","144","69","126","69","18","21","13012","25","2005","23","2005","23","0","23","0","23","0","23","11007","25","10871","69","136","67","120","69","16","26"
"0500000US37193","Wilkes County, North Carolina","59940","19","29280","29","5766","29","5766","29","0","29","0","29","0","29","23514","29","23372","84","142","84","76","46","66","63","30660","19","5522","29","5522","29","0","29","0","29","0","29","25138","19","24926","144","212","143","144","114","68","56"
"0500000US37003","Alexander County, North Carolina","32245","26","16133","26","3160","26","3160","26","0","26","0","26","0","26","12973","26","12900","46","73","46","39","33","34","31","16112","26","3023","26","3023","26","0","26","0","26","0","26","13089","26","12906","91","183","91","95","63","88","81"
"0500000US37031","Carteret County, North Carolina","59524","61","29025","9","4983","29","4964","16","19","16","5","8","14","16","24042","9","23739","86","303","86","210","68","93","49","30499","61","4626","29","4626","29","0","29","0","29","0","29","25873","61","25388","152","485","141","305","103","180","70"
"0500000US37139","Pasquotank County, North Carolina","21648","22","10720","26","2168","26","2168","26","0","26","0","26","0","26","8552","26","8472","55","80","55","50","38","30","36","10928","22","2044","26","2044","26","0","26","0","26","0","26","8884","22","8777","67","107","63","58","45","49","46"
"0500000US37173","Swain County, North Carolina","8868","19","4227","70","708","70","685","78","23","31","23","31","0","19","3519","19","3519","19","0","19","0","19","0","19","4641","70","792","70","792","70","0","19","0","19","0","19","3849","19","3810","32","39","32","29","30","10","15"
"0500000US37007","Anson County, North Carolina","11288","10","5782","4","977","4","977","4","0","23","0","23","0","23","4805","23","4796","18","9","18","9","18","0","23","5506","9","963","23","963","23","0","23","0","23","0","23","4543","9","4543","9","0","23","0","23","0","23"
"0500000US37069","Franklin County, North Carolina","41244","66","20565","52","4333","29","4303","28","30","28","0","29","30","28","16232","52","15833","166","399","156","298","149","101","46","20679","40","3917","21","3885","33","32","27","12","19","20","21","16762","26","16472","158","290","157","183","131","107","77"
"0500000US37113","Macon County, North Carolina","30726","54","14735","50","2644","15","2644","15","0","26","0","26","0","26","12091","42","11946","78","145","66","52","37","93","53","15991","7","2441","26","2441","26","0","26","0","26","0","26","13550","7","13402","72","148","73","90","61","58","38"
"0500000US37175","Transylvania County, North Carolina","30264","50","14444","22","2239","26","2239","26","0","26","0","26","0","26","12205","22","11879","141","326","134","117","74","209","111","15820","31","2160","26","2160","26","0","26","0","26","0","26","13660","31","13358","122","302","113","259","106","43","37"
"0500000US37047","Columbus County, North Carolina","33397","117","16228","59","3178","33","3163","41","15","23","0","29","15","23","13050","29","12998","42","52","37","26","25","26","28","17169","60","3129","61","3112","67","17","29","0","29","17","29","14040","8","13905","78","135","79","24","31","111","72"
"0500000US37123","Montgomery County, North Carolina","17296","48","8384","25","1398","23","1397","5","1","5","0","23","1","5","6986","25","6888","70","98","65","16","17","82","68","8912","24","1469","23","1439","44","30","44","30","44","0","23","7443","24","7411","35","32","25","32","25","0","23"
"0500000US37153","Richmond County, North Carolina","25901","2","12610","2","2558","2","2558","2","0","26","0","26","0","26","10052","26","10017","32","35","32","25","31","10","12","13291","26","2407","26","2406","2","1","2","1","2","0","26","10884","26","10767","73","117","73","110","74","7","12"
"0500000US37171","Surry County, North Carolina","60718","27","29302","18","5815","18","5815","18","0","29","0","29","0","29","23487","29","23338","55","149","55","107","44","42","37","31416","9","5577","29","5569","12","8","12","8","12","0","29","25839","9","25640","72","199","72","158","65","41","30"
"0500000US37021","Buncombe County, North Carolina","212773","156","101387","107","18012","51","17811","188","201","184","29","42","172","183","83375","72","81265","375","2110","369","1114","224","996","315","111386","79","17065","36","16872","127","193","124","78","76","115","106","94321","70","91670","442","2651","435","1712","279","939","306"
"0500000US37025","Cabarrus County, North Carolina","134629","244","65919","131","15113","62","15006","101","107","78","68","66","39","36","50806","110","49783","290","1023","254","576","186","447","164","68710","124","14247","48","14205","73","42","53","11","16","31","50","54463","110","53500","267","963","239","534","168","429","177"
