CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian,cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registrants(party),most_registered(%)
NASH,31211,18853,239,8,37,15783,34490,26346,330,4965,1358,28812,35075,2244,66131,2020-06-23,,70634,28213,38595,39.942520599144885,54.640824532095024,0.9528163415947891,542.717626953125,130.14871176480273,44.18693547017017,26.6911119290993,0.3383639606988136,0.011325990316278279,0.05238270521278704,22.34476314522751,93.62488320072487,93.38248325240137,37.299317609083445,39.83910722656545,89.3639072418707,48.829175751054734,52.15405785486383,democrats,44.18693547017017
NEW HANOVER,51027,52682,1233,67,78,64360,131949,20570,386,16542,3176,72727,85300,11420,169447,2020-06-23,,176835,23260,143676,13.153504679503492,81.24862159640342,2.385413225442627,219.5846923828125,805.3156988362152,28.855712952752565,29.79161365114372,0.6972601577741963,0.0378884270647779,0.04410891509033845,36.39550993864337,95.82209404246896,88.43508168529665,11.63231260779823,12.1394890437718,91.83788524179404,74.61701586224447,77.87036654529145,unaffiliated,36.39550993864337
NORTHAMPTON,9096,1420,28,4,4,3061,5244,7769,33,567,49,5921,7183,509,13613,2020-06-23,,16290,9203,6620,56.49478207489257,40.63842848373235,0.21974372405044473,549.893212890625,29.62393355314992,55.83793738489871,8.717004297114794,0.17188459177409454,0.024554941682013505,0.024554941682013505,18.790669122160836,83.56660527931245,84.41812452461154,47.69183548189073,57.07044736648792,79.21450151057402,32.1915285451197,38.52200102842871,democrats,55.83793738489871
ONSLOW,25074,40455,1118,42,104,42085,75774,18453,384,14267,5857,47287,56341,5250,108878,2020-06-23,,144189,21195,100276,14.69945696273641,69.5448335171199,1.945035471277445,819.47216796875,175.9535047509979,17.389676050184132,28.0569252855627,0.7753712141702904,0.029128435594948297,0.07212755480653864,29.187386000319027,75.51061454063763,87.06298655343241,12.797786238894783,16.948327485809806,75.56543938729108,52.55185901837172,69.59532687962674,unaffiliated,29.187386000319027
ORANGE,51606,14678,641,40,30,43606,77896,12109,260,20336,3849,46398,55557,8646,110601,2020-06-23,,104618,12928,80545,12.357338125370395,76.98961937716263,1.411243027790634,401.513720703125,260.5589662460214,49.32803150509473,14.030090424209982,0.6127052706035291,0.03823433825919058,0.028675753694392934,41.681163853256606,105.71890114511844,93.66491336633663,11.574490049513468,10.94836393884323,96.7111552548265,74.45755032594774,70.42974294988291,democrats,49.32803150509473
PAMLICO,3197,3378,45,0,5,2641,7168,1518,27,553,83,4186,4756,324,9266,2020-06-23,,10572,2132,8061,20.166477487703368,76.24858115777525,0.1426108441167159,561.64560546875,18.82325775731228,30.240257283390086,31.952326901248583,0.42565266742338254,0.0,0.04729474082482028,24.981082103670072,87.64661369655694,71.20075046904316,14.358683314415437,16.382473559248865,88.92196997891081,67.80174044646235,77.35808331534643,republicans,31.952326901248583
PASQUOTANK,11315,6369,168,16,12,9536,15663,9693,41,2019,284,11946,14394,1076,27416,2020-06-23,,30047,11278,17357,37.53452923752787,57.76616633940161,0.4053185805121985,289.19130859375,103.9000796604486,37.65766965088029,21.196791693014276,0.559124039005558,0.05324990847671981,0.039937431357539854,31.736945452125003,91.24371817485938,85.94608973222202,32.259460179052816,35.355266997373796,90.24024889093738,52.128332279428896,57.130872483221474,democrats,37.65766965088029
PENDER,11484,16194,288,11,23,13942,32276,6017,100,3549,854,18980,21237,1725,41942,2020-06-23,,44201,7009,34911,15.857107305264586,78.9823759643447,0.5962487628455315,880.38857421875,50.20623994265671,25.98131263998552,36.63718015429515,0.65156896902785,0.024886314789258162,0.05203502183208525,31.542272799257937,94.8892558991878,85.8467684405764,13.612814189724215,14.346001621286538,92.45223568502765,73.02097237619058,76.95388870344762,republicans,36.63718015429515
PERQUIMANS,3166,2710,34,2,7,3035,6616,1966,18,354,38,4067,4710,177,8954,2020-06-23,,10751,2492,7942,23.179239140545064,73.8721979350758,0.1450254620789645,328.957568359375,32.682026601847014,29.448423402474187,25.206957492326296,0.3162496511952377,0.018602920658543392,0.06511022230490186,28.229932099339596,83.28527578829876,78.892455858748,18.286671007348154,21.956667411212866,83.30395366406447,61.53846153846154,73.88876479785571,democrats,29.448423402474187
PERSON,10957,6888,102,5,8,8190,17402,6992,124,1632,362,11561,13771,818,26150,2020-06-23,,30124,8161,20847,27.091355729650775,69.20395697782499,0.40635727092054,404.0411376953125,74.5567646201326,36.37299163457708,22.865489310848492,0.33860045146726864,0.016598061346434736,0.02655689815429558,27.1876244854601,86.80786084185367,85.67577502757015,23.210728986854335,26.738049713193117,83.47484050462896,57.767892710131456,66.54684512428298,democrats,36.37299163457708
PITT,51871,30884,738,55,71,37297,67494,41859,256,11307,2782,50790,64096,6030,120916,2020-06-23,,133905,45435,80498,33.930771815839584,60.11575370598559,1.806309599077643,654.7935546875,204.49956943132423,38.73716440760241,23.064112617153953,0.5511370001120197,0.041073895672304996,0.05302266532243008,27.853328852544713,90.29983943840783,92.12941564872895,31.260221799036632,34.618247378345295,83.84556138040696,50.404391172846424,55.81891561083727,democrats,38.73716440760241
POLK,3908,5598,81,9,8,5858,14076,662,7,717,208,6996,8201,265,15462,2020-06-23,,16692,813,15120,4.8705966930266,90.5823148813803,0.2251664973511371,238.625048828125,69.95074524645895,23.4124131320393,33.53702372393961,0.4852624011502516,0.05391804457225018,0.047927150730889045,35.09465612269351,92.6312005751258,81.42681426814268,3.965971722981069,4.28146423489846,93.0952380952381,84.32782171099929,91.0360884749709,unaffiliated,35.09465612269351
RANDOLPH,16772,46059,513,26,53,26363,76175,5694,275,7642,2962,40928,45790,3068,89786,2020-06-23,,103503,6494,90833,6.2742142739823965,87.75880892341284,1.3962022510984151,790.106201171875,130.99884527736364,16.20436122624465,44.50015941566911,0.4956378075997797,0.025120044829618465,0.05120624522960687,25.470759301662753,86.74724404123552,87.68093624884509,5.501289817686444,6.341745929209454,83.86269307410302,73.59690057293025,84.84062103223219,republicans,44.50015941566911
RICHMOND,13878,6198,87,11,21,8163,16930,9359,393,1676,399,12598,15091,669,28358,2020-06-23,,33586,10705,20919,31.87339963079855,62.284880605013996,0.453057870838443,479.52216796875,70.04055754558728,41.32078842374799,18.454117787173228,0.2590365033049485,0.032751741797177394,0.06252605252188412,24.304769844578097,84.43399035312332,87.42643624474545,27.865777407253024,33.00303265392482,80.93121086093981,50.407908056928484,59.700966217645814,democrats,41.32078842374799
ROBESON,43011,10174,202,14,64,20705,21205,20548,26058,6359,1707,32660,40481,1029,74170,2020-06-23,,95509,24081,28303,25.213330680878244,29.633856495199407,1.288367301432408,950.2998046875,100.50407200852527,45.0334523448052,10.65239925033243,0.2114983928216189,0.014658304452983488,0.06700939178506737,21.678585264215936,77.65760294841324,85.32868236368921,21.514202849993193,27.70392341917217,74.92138642546726,22.202096137536778,28.589726304435757,democrats,45.0334523448052
ROCKINGHAM,19801,21556,267,13,32,17082,43059,11301,106,4285,913,26873,31780,98,58751,2020-06-23,,70659,13518,53939,19.131320850847025,76.33705543525949,0.9531535787403546,571.95791015625,123.53881071545467,28.02332328507338,30.507083315642735,0.37787118413790177,0.018398222448661884,0.04528793218132156,24.175264297541716,83.14722823702571,83.59964491788726,15.993716299409842,19.235417269493286,79.82906616733717,60.93915849361016,73.29066739289544,republicans,30.507083315642735
ROWAN,24805,38463,435,36,48,28753,68839,15578,183,7940,2110,41204,47081,4255,92540,2020-06-23,,104212,16806,81410,16.126741642037384,78.11960234905769,1.405766296546651,523.566357421875,199.04258270748463,23.80244117759951,36.90841745672284,0.4174183395386328,0.0345449660307834,0.0460599547077112,27.590872452308755,88.79975434690823,92.69308580268951,14.948374467431774,16.83380159930841,84.55840805797814,66.05669212758608,74.38837259563432,republicans,36.90841745672284
RUTHERFORD,12224,17441,213,11,21,13719,36544,4184,66,2835,637,19487,22516,1626,43629,2020-06-23,,51906,5171,44887,9.96223943282087,86.47747851886102,0.700185251108802,565.29853515625,91.82051035326502,23.550263938658343,33.601125110777176,0.41035718414056177,0.02119215504951258,0.04045775054906947,26.4304704658421,84.05386660501676,80.91278282730613,8.060725157014604,9.58995163767219,81.41332679840488,70.4041921935807,83.76080130188636,republicans,33.601125110777176
SAMPSON,14175,13767,134,5,20,7948,21486,10468,523,3572,1994,15854,19312,883,36049,2020-06-23,,43220,12432,26491,28.76446089773253,61.29338269319759,0.5830155772535434,946.66669921875,45.65492800757428,32.79731605738084,31.853308653401204,0.3100416473854697,0.01156871818602499,0.04627487274409996,18.38963442850532,83.40814437760297,84.2020592020592,24.220268394261915,29.038253488307582,81.10679098561776,49.71309578898658,59.602208105634,democrats,32.79731605738084
SCOTLAND,11118,3723,67,7,18,6200,9706,8381,1592,1454,182,8870,11453,810,21133,2020-06-23,,26700,10244,12615,38.36704119850187,47.247191011235955,0.36016927146389655,320.92919921875,83.19592005026907,41.640449438202246,13.9438202247191,0.250936329588015,0.026217228464419477,0.06741573033707865,23.220973782771537,79.1498127340824,81.81374463100352,31.38951310861423,39.658354232716604,76.940150614348,36.352059925093634,45.92816921402546,democrats,41.640449438202246
STANLY,9585,18916,156,13,28,12563,33379,4348,83,3451,455,18441,20766,2054,41261,2020-06-23,,46749,5098,39737,10.905046097242721,85.00074867911613,0.6306199727215618,404.51025390625,115.56938186005695,20.503112366039915,40.46289760208774,0.333696977475454,0.027808081456287836,0.059894329290466106,26.873302102718775,88.26071145906865,85.28834837191056,9.300733705533808,10.537795981677613,83.99979867629665,71.40045776380244,80.8972152880444,republicans,40.46289760208774
STOKES,6319,15217,154,8,13,8411,27088,1207,55,1772,314,14224,15773,125,30122,2020-06-23,,36508,1552,33987,4.251123041525145,93.09466418319272,0.4924741484121324,455.94013671875,80.07191527979083,17.308535115591102,41.68127533691246,0.42182535334721155,0.021913005368686317,0.03560863372411526,23.038786019502574,82.50794346444614,77.77061855670104,3.306124685000548,4.007038045282518,79.70106217083003,74.19743617837186,89.92762764756657,republicans,41.68127533691246
SURRY,11347,19719,136,10,15,13499,39327,1742,53,3604,1463,20007,23058,1661,44726,2020-06-23,,54351,2063,49243,3.795698331217457,90.60182885319497,0.7331670439451027,539.414306640625,100.75928526717844,20.87726076797115,36.280841198873986,0.2502253868374087,0.01839892550275064,0.027598388254125958,24.836709536163088,82.2910342036025,84.4401357246728,3.2050928225791613,3.894826275544426,79.86312775419857,72.35745432466744,87.92872154898717,republicans,36.280841198873986
SWAIN,3368,2668,39,5,0,3407,7509,115,1501,362,60,4440,4958,89,9487,2020-06-23,,10868,40,7358,0.368052999631947,67.70334928229666,0.14660373192021078,539.98115234375,20.12662840698831,30.990062569009936,24.549135075450867,0.3588516746411483,0.04600662495399337,0.0,31.348914243651087,87.29297018770703,287.5,1.0581523739418477,1.2121850953936966,102.05218809459092,69.09274935590724,79.15041635922842,unaffiliated,31.348914243651087
TRANSYLVANIA,6160,8096,119,3,5,10766,22831,830,46,1442,189,11286,13013,850,25149,2020-06-23,,27373,1165,25613,4.256018704562891,93.57030650641143,0.36924769542251834,380.3008544921875,71.9772245491032,22.503927227560006,29.576590070507436,0.43473495780513643,0.010959704818616885,0.018266174697694808,39.33072735907646,91.87520549446535,71.24463519313305,3.0321849998173382,3.3003300330033003,89.13832819271464,83.40700690461404,90.78293371505825,unaffiliated,39.33072735907646
TYRRELL,1176,371,9,0,2,699,1422,689,7,139,35,1025,1167,65,2257,2020-06-23,,3507,1379,2013,39.321357285429144,57.39948674080411,0.04730762677992079,609.025537109375,5.758379224367692,33.532934131736525,10.578842315369261,0.2566295979469632,0.0,0.057028799543769604,19.931565440547477,64.357000285144,49.963741841914434,19.64642144282863,30.527248560035446,70.64083457526081,40.547476475620186,63.00398759415153,democrats,33.532934131736525
UNION,38759,65410,870,43,76,54942,119629,19027,419,21025,6668,71952,79933,8215,160100,2020-06-23,,153647,18818,121666,12.247554459247496,79.18540550742937,2.0726190281877646,639.63310546875,240.21114399230638,25.226005063554773,42.571608947782906,0.5662329886037476,0.02798622817236913,0.04946403118837335,35.758589494100114,104.19988675340228,101.11063875013285,12.383580545015523,11.884447220487196,98.32574425065343,77.85963930307783,74.72142410993129,republicans,42.571608947782906
VANCE,18026,4341,76,7,22,6096,11598,14872,53,2045,576,12131,15384,1053,28568,2020-06-23,,32480,16566,14709,51.00369458128079,45.28633004926108,0.4381384995186277,269.88193359375,120.34892283264782,55.498768472906406,13.365147783251231,0.23399014778325122,0.021551724137931036,0.06773399014778325,18.76847290640394,87.95566502463055,89.77423638778221,45.78817733990148,52.058246989638754,78.84968386702019,35.70812807881774,40.59787174460935,democrats,55.498768472906406
WAKE,278774,184118,5435,286,337,292549,482634,143939,1902,133024,28282,330274,378335,52890,761499,2020-06-23,,719849,153556,487769,21.331695952901235,67.75990520234105,9.710392879925635,856.2427734375,840.7066574238879,38.726732967608484,25.57730857443714,0.7550194554691331,0.039730554602423564,0.04681537377977881,40.64032873560983,105.78593566150678,93.73713824272578,19.99572132488897,18.902060278477055,98.94724757005878,67.04656115379753,63.37946602687594,unaffiliated,40.64032873560983
WARREN,8522,1921,43,0,3,2533,5134,6684,544,660,73,5746,6890,386,13022,2020-06-23,,16097,8113,6661,50.4006957818227,41.38038143753494,0.2171402532866795,443.387939453125,36.30455086318778,52.94154190221781,11.933900726843511,0.26713052121513325,0.0,0.018637013108032553,15.735851400882153,80.89706156426664,82.38629360285961,41.52326520469653,51.32852096452158,77.075514187059,31.894141765546376,39.425587467362924,democrats,52.94154190221781
WASHINGTON,5162,1148,19,0,0,1764,3674,4008,10,401,48,3501,4407,185,8093,2020-06-23,,9410,4367,4630,46.40807651434644,49.20297555791711,0.12693606159083395,414.98466796875,22.675536535023532,54.85653560042508,12.199787460148778,0.20191285866099895,0.0,0.0,18.746014877789584,86.00425079702444,91.77925349209984,42.59298618490967,49.5242802421846,79.35205183585313,39.04357066950053,45.39725688866922,democrats,54.85653560042508
WATAUGA,11912,13311,475,16,15,19359,40572,982,74,3460,1183,20409,23411,1268,45088,2020-06-23,,46205,804,43474,1.7400714208419001,94.0893842657721,0.6232816924340576,312.556591796875,147.82922905055162,25.780759658045667,28.808570501028026,1.0280272697759982,0.034628286981928366,0.03246401904555784,41.89806298019695,97.58251271507413,122.13930348258707,2.125311113515853,2.1779630943931867,93.32474582509086,87.80867871442484,89.98403122782115,unaffiliated,41.89806298019695
WAYNE,29320,23878,359,19,44,19325,41090,24154,139,7562,2351,31356,37891,3698,72945,2020-06-23,,87849,28672,53400,32.637821716809526,60.78612164054229,1.1850378400311554,556.983203125,157.7228891412092,33.37545105806554,27.18073057177657,0.40865576159091166,0.021628020808432652,0.050085942924791405,21.997973795945317,83.03452515111157,84.24246651785714,27.494906031941174,33.112619096579614,76.94756554307116,46.773440790447246,56.33011172801426,democrats,33.37545105806554
WILKES,8220,21909,143,7,13,11180,37788,1615,44,2025,724,19025,21114,1333,41472,2020-06-23,,52320,2204,48518,4.212538226299694,92.73318042813456,0.7057698982393658,758.897412109375,68.94212467344593,15.711009174311927,41.875,0.2733180428134557,0.013379204892966361,0.02484709480122324,21.368501529051986,79.26605504587155,73.27586206896552,3.08677370030581,3.8941936728395063,77.88449647553486,72.22477064220183,91.11689814814815,republicans,41.875
WILSON,27426,13448,186,8,34,14275,27388,22911,104,4974,1402,23649,29705,2023,55377,2020-06-23,,59290,24449,31481,41.236296171361104,53.09664361612413,0.7997916144230122,374.2048095703125,158.44264553435545,46.25737898465171,22.68173385056502,0.3137122617642098,0.013493000505987519,0.05734525215044695,24.07657277787148,93.40023612750886,93.70935416581456,38.642266824085006,41.37277208949564,86.99850703598996,46.193287232248274,49.457355941997584,democrats,46.25737898465171
YADKIN,3498,13232,101,9,10,6706,21167,729,28,1632,751,10857,11919,780,23556,2020-06-23,,28312,1011,25998,3.570923989827635,91.82678722803051,0.3819143226099565,337.722802734375,83.8320651456511,12.355185080531223,46.736366205142694,0.35673919186210795,0.03178864085899972,0.03532071206555524,23.686069511161346,83.20146934162193,72.10682492581603,2.574879909578977,3.0947529291900153,81.4178013693361,74.76335122916078,89.85821022244863,republicans,46.736366205142694
YANCEY,4458,4825,51,1,4,4056,12677,80,19,619,76,6213,6769,413,13395,2020-06-23,,14020,117,13559,0.8345221112696148,96.71184022824536,0.18912259123310224,313.0384521484375,44.78683019219618,31.79743223965763,34.4151212553495,0.3637660485021398,0.007132667617689016,0.028530670470756064,28.930099857346647,95.54208273894436,68.37606837606837,0.5706134094151213,0.597237775289287,93.49509550851833,90.42082738944366,94.63979096677865,republicans,34.4151212553495
ALAMANCE,37499,34733,597,24,54,33320,70461,21333,262,14171,4199,44387,54472,7368,106227,2020-09-19,0.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,434.573486328125,266.8662577183425,32.33425021341174,29.949212316659914,0.5147749907306011,0.020694471989169894,0.04656256197563226,28.730825278297534,91.5963198330646,91.28369704749679,18.39479878937339,20.082464910051115,83.32860285247996,60.75638295120416,66.33059391680081,democrats,32.33425021341174
ALEXANDER,5104,11301,102,2,19,7683,21542,923,36,1710,341,11129,11965,1117,24211,2020-09-19,0.0,28629,1760,25940,6.1476125606902094,90.60742603653638,0.3861904896157264,263.5015380859375,108.6483221614556,17.82807642600161,39.47395997065912,0.3562820915854553,0.006985923364420692,0.06636627196199657,26.83642460442209,84.5680952879947,52.44318181818182,3.2240036326801493,3.812316715542522,83.04548959136469,75.24538055817527,88.97608525050597,republicans,39.47395997065912
ALLEGHANY,2134,2840,32,5,3,2347,6690,76,8,587,187,3343,3623,395,7361,2020-09-19,0.0,8638,192,8104,2.2227367446168094,93.8180134290345,0.11652217853577297,234.3843994140625,36.853988668162785,24.70479277610558,32.87798101412364,0.3704561241028016,0.057883769391062746,0.034730261634637646,27.170641352164854,85.21648529752258,39.583333333333336,0.8798332947441537,1.032468414617579,82.5518262586377,77.44848344524195,90.88439070778426,republicans,32.87798101412364
ANSON,10017,2707,32,8,23,3546,6722,6812,28,2771,85,6268,7555,2510,16333,2020-09-19,0.0,19935,9655,9348,48.432405317281166,46.89240030097818,0.2689128998738868,536.82509765625,37.13499999727128,50.24830699774267,13.579132179583647,0.16052169551040882,0.040130423877602205,0.11537496864810634,17.78781038374718,81.9312766491096,70.55411703780425,34.17105593177828,41.70697361170636,71.90842961061189,33.71958866315526,41.15594195799914,democrats,50.24830699774267
ASHE,4498,8529,78,4,14,5885,17727,110,22,1149,225,8621,9642,745,19008,2020-09-19,0.0,21275,177,20526,0.8319623971797885,96.47943595769682,0.2869888108761947,427.957763671875,49.71284973886355,21.142185663924796,40.08930669800235,0.36662749706227965,0.01880141010575793,0.06580493537015276,27.661574618096356,89.34430082256169,62.14689265536723,0.5170387779083431,0.5787037037037037,86.36363636363636,83.32314923619272,93.26073232323232,republicans,40.08930669800235
AVERY,1392,6989,58,5,6,3580,11097,77,19,837,92,5448,6054,528,12030,2020-09-19,0.0,14402,744,12900,5.165949173725871,89.57089293153729,0.19427557481734226,247.4388916015625,58.204269776599084,9.665324260519371,48.527982224691016,0.4027218441883072,0.03471740036106096,0.04166088043327316,24.85765865851965,83.53006526871268,10.349462365591398,0.5346479655603389,0.6400665004156276,86.02325581395348,77.0517983613387,92.24438902743142,republicans,48.527982224691016
BEAUFORT,11789,11627,109,15,15,9740,22950,7678,42,2625,479,14355,16926,2014,33295,2020-09-19,0.0,36615,9262,25858,25.29564386180527,70.62133005598798,0.4939175233951525,958.3943359375,38.20452461687731,32.19718694524102,31.754745322955074,0.2976922026491875,0.04096681687832855,0.04096681687832855,26.60111975966134,90.93267786426328,82.8978622327791,20.969547999453777,23.06051959753717,88.7539639569959,62.67922982384269,68.9292686589578,democrats,32.19718694524102
BERTIE,8596,1514,32,3,2,2807,4558,7671,19,706,40,5505,6914,535,12954,2020-09-19,0.0,16024,9752,5808,60.85871193210185,36.24563155267099,0.2161555208216284,741.2837890625,21.61655257599187,53.6445332001997,9.448327508736895,0.19970044932601097,0.01872191712431353,0.012481278082875686,17.517473789316025,80.84123814278583,78.66078753076292,47.871942086869694,59.21723019916628,78.47796143250689,28.44483275087369,35.18604292110545,democrats,53.6445332001997
BLADEN,10703,4699,61,2,7,6931,12619,7962,399,1423,438,9990,11749,664,22403,2020-09-19,0.0,25522,9099,15246,35.651594702609515,59.736697750959955,0.34427865716485273,887.71806640625,28.75011894634604,41.93636862314865,18.41156649165426,0.23900948201551603,0.007836376459525115,0.027427317608337904,27.15696262048429,87.77917091137058,87.5041213320145,31.196614685369486,35.539883051377046,82.76925095106914,49.44361727137372,56.327277596750434,democrats,41.93636862314865
BRUNSWICK,26636,43619,538,27,41,40198,91349,8633,336,10741,1397,47906,55122,8031,111059,2020-09-19,0.0,103762,10700,88965,10.312060291821668,85.73948073475839,1.3996960279264732,896.3173828125,115.76479714630939,25.67028391896841,42.03754746438966,0.5184942464486035,0.026021086717680848,0.03951350205277462,38.74057940286425,107.03243962144137,80.6822429906542,8.320001541990324,7.773345699132894,102.67970550216377,88.03704631753436,82.25267650528097,republicans,42.03754746438966
BUNCOMBE,75853,45971,1555,207,101,77981,167816,10678,382,22773,4016,86715,102071,12882,201668,2020-09-19,19.0,198618,12052,175761,6.067929392099407,88.49197957889012,2.6792546951167115,659.67060546875,301.08663074181646,38.190395633829766,23.1454349555428,0.7829099074605524,0.10422016131468446,0.05085138305692334,39.261799031306325,101.53561107251105,88.59940258878194,5.3761491909091825,5.294841025844457,95.47965703426813,84.49183860475888,83.21399527937005,unaffiliated,39.261799031306325
BURKE,15241,21586,306,33,41,19315,47978,3199,81,5264,972,25371,28299,2852,56522,2020-09-19,0.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,513.1185546875,137.05799440994804,21.671619719311217,30.693759153667866,0.4351102705930866,0.04692365663258777,0.05829908854351814,27.464558419952507,80.37027030870078,65.66091954022988,4.548750835383281,5.659743108877959,79.02296010804757,68.22130902782715,84.88376207494427,republicans,30.693759153667866
CABARRUS,42952,50668,997,61,104,49887,94861,26804,353,22651,5406,60905,71827,11937,144669,2020-09-19,0.0,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,364.63603515625,383.974666519188,30.67758961795859,36.188585182592796,0.7120869074572712,0.043568005371006566,0.07427987800958497,35.630771867924665,103.32688145931391,108.36028460543338,19.144210097778032,18.52781176340474,90.86911957698314,67.75253372949268,65.5710622178905,republicans,36.188585182592796
CALDWELL,11252,25037,367,34,30,15853,45944,2658,62,3909,902,23878,26293,2402,52573,2020-09-19,0.0,63099,2933,58071,4.648251160874182,92.0315694385014,0.8511730659213635,474.66123046875,132.93480897457502,17.83229528201715,39.67891725700883,0.5816256992979286,0.05388357977147023,0.04754433509247373,25.12401147403287,83.31827762722072,90.62393453801569,4.212428089193173,5.055827135601925,79.11694305247025,72.81256438295377,87.39086603389572,republicans,39.67891725700883
CAMDEN,1762,2753,58,1,2,3365,6407,965,11,558,36,3699,3910,332,7941,2020-09-19,0.0,7869,1100,6464,13.978904562206125,82.14512644554581,0.10614876393817985,305.5676513671875,25.75207148005389,22.3916634896429,34.985385690684964,0.7370695132799593,0.012708095056551023,0.025416190113102047,42.76273986529419,100.91498284407167,87.72727272727273,12.263311729571738,12.152121899005163,99.11819306930693,81.4207650273224,80.68253368593376,unaffiliated,42.76273986529419
CARTERET,9904,22693,249,10,23,17487,43750,2210,84,4321,501,22037,24943,3386,50366,2020-09-19,1.0,55387,3221,49642,5.815444057269756,89.62752992579486,0.7471421512573347,1039.70126953125,53.27203267239566,17.881452326358172,40.97170816256522,0.4495639771065412,0.01805477819704985,0.04152598985321465,31.572390633181072,90.93469586726127,68.61223222601677,3.990105981548017,4.387880713179526,88.13101808952096,78.98965461209309,86.86415438986619,republicans,40.97170816256522
CASWELL,6852,3683,41,4,8,4510,9153,4814,20,1111,163,6654,7673,771,15098,2020-09-19,0.0,18072,6178,11345,34.18548030101815,62.77667109340416,0.24378198778634974,428.91376953125,42.13434327312567,37.91500664010624,20.37959274015051,0.22687029659141214,0.02213368747233289,0.04426737494466578,24.955732625055333,83.54360336432049,77.92165749433474,26.637892872952634,31.885017883163332,80.67871308946673,50.647410358565736,60.62392369850311,democrats,37.91500664010624
CATAWBA,22733,45785,507,29,57,36458,83656,8980,125,12808,3470,46668,52729,6172,105569,2020-09-19,0.0,115407,9832,96398,8.519413900369996,83.5287287599539,1.5567810903308579,413.802685546875,278.89379172945667,19.698111899624806,39.67263684178603,0.4393147729340508,0.025128458412401328,0.04939041825885778,31.590804717218194,91.47538710823433,91.33441822620016,7.781157122184963,8.506284988964563,86.78188344156517,72.48780403268432,79.24295958093758,republicans,39.67263684178603
CHATHAM,20791,13599,283,15,24,21360,41383,6025,116,8548,1756,23258,27316,5498,56072,2020-09-19,0.0,51871,6605,41593,12.733511981646778,80.1854600836691,0.6997131191050104,708.890966796875,73.17204257007138,40.08212681459775,26.216961307859883,0.5455842378207476,0.028917892463997223,0.04626862794239556,41.17907886873205,108.09893774941682,91.21877365632096,11.615353473038885,10.745113425595664,99.49510734979444,79.78060958917314,73.803324297332,unaffiliated,41.17907886873205
CHEROKEE,4216,10496,125,10,7,7202,20775,224,130,927,186,10381,11464,211,22056,2020-09-19,0.0,22595,282,21065,1.248063730913919,93.22859039610533,0.3047949321620503,466.979931640625,48.385376906064764,18.658995352954193,46.45275503429962,0.5532197388802832,0.04425757911042266,0.03098030537729586,31.874308475326398,97.61451648594822,79.43262411347517,0.9913697720734675,1.0155966630395357,98.62330880607642,91.94512060190307,94.19205658324266,republicans,46.45275503429962
CHOWAN,4162,2790,31,3,2,3084,6464,3007,13,586,65,4366,5451,255,10072,2020-09-19,2.0,11146,3774,7057,33.85968060290687,63.314193432621565,0.15035380897889852,233.3517333984375,47.76480481920703,37.34075004485914,25.03140139960524,0.278126682217836,0.02691548537591961,0.01794365691727974,27.66911896644536,90.36425623542078,79.6767355590885,26.978288175130093,29.855043685464654,91.59699589060507,57.993899156648126,64.1779189833201,democrats,37.34075004485914
CLAY,1630,4023,60,3,4,3178,8362,43,15,478,60,4084,4475,339,8898,2020-09-19,0.0,8704,133,8366,1.5280330882352942,96.11672794117646,0.11741248460006574,220.8263671875,39.4155829797697,18.72702205882353,46.22012867647059,0.6893382352941176,0.034466911764705885,0.04595588235294118,36.51194852941177,102.22886029411765,32.330827067669176,0.49402573529411764,0.48325466396943134,99.95218742529285,96.07077205882354,93.97617442121825,republicans,46.22012867647059
CLEVELAND,22697,23301,314,15,45,18704,46159,13531,91,5295,680,28290,33197,3589,65076,2020-09-19,0.0,74468,14872,57039,19.97099425256486,76.59531610893269,1.004535030238706,468.2775390625,159.02535096833017,30.478863404415318,31.289950045657196,0.42165762475157115,0.020142880163291615,0.06042864048987485,25.116828704947093,87.38787130042434,90.98305540613232,18.17022076596659,20.79261171553261,80.92533179052928,61.985013697158514,70.93091154957281,republicans,31.289950045657196
