CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian,cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registrants(party),most_registered(%)
CABARRUS,41493,49130,926,46,83,47566,94927,26180,351,17786,5217,60348,71385,7511,139244,2020-03-14,,140011,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476,364.63603515625,383.974666519188,29.635528637035662,35.09010006356643,0.6613766061238046,0.03285456142731642,0.05928105648841877,33.97304497503767,99.45218589967931,105.83764553686935,18.69853082972052,18.801528252563845,90.93234220685295,67.79967288284492,68.17313492861452,republicans,35.09010006356643
CALDWELL,11582,24047,362,31,19,15351,46036,2691,65,2600,869,23958,26399,1035,51392,2020-03-14,,63099,2933,58071,4.648251160874182,92.0315694385014,0.8511730659213635,474.66123046875,132.93480897457502,18.35528296803436,38.1099541989572,0.5737016434491831,0.04912914626222285,0.030111412225233364,24.32843626681881,81.446615635747,91.7490623934538,4.264726857794893,5.236223536737235,79.27536980592723,72.9583670105707,89.57814445828144,republicans,38.1099541989572
CAMDEN,1809,2585,60,0,2,3224,6289,963,10,418,35,3635,3850,195,7680,2020-03-14,,7869,1100,6464,13.978904562206125,82.14512644554581,0.10614876393817985,305.5676513671875,25.75207148005389,22.9889439573008,32.85042572118439,0.7624857033930614,0.0,0.025416190113102047,40.9708984623205,97.59817003431186,87.54545454545455,12.237895539458636,12.5390625,97.29269801980197,79.92120981064939,81.88802083333333,unaffiliated,40.9708984623205
CARTERET,10659,23063,247,5,12,18394,46499,2472,96,3313,546,23526,26569,2285,52380,2020-03-14,,55387,3221,49642,5.815444057269756,89.62752992579486,0.7471421512573347,1039.70126953125,53.27203267239566,19.244588080235435,41.63973495585607,0.4459530214671313,0.009027389098524925,0.021665733836459818,33.209959015653496,94.57092819614711,76.74635206457621,4.463141170310723,4.719358533791524,93.66866766044882,83.9529131384621,88.77243222604048,republicans,41.63973495585607
CASWELL,6895,3425,37,2,7,4365,9097,4813,17,804,157,6618,7653,460,14731,2020-03-14,,18072,6178,11345,34.18548030101815,62.77667109340416,0.24378198778634974,428.91376953125,42.13434327312567,38.15294378043382,18.951969898185038,0.20473660911907923,0.011066843736166445,0.03873395307658256,24.153386454183266,81.51283753873395,77.90547102622207,26.63235945108455,32.67259520738578,80.18510356985456,50.337538733953075,61.75412395628267,democrats,38.15294378043382
CATAWBA,22673,44071,459,16,46,35148,83186,8926,120,10181,3310,46251,52413,3749,102413,2020-03-14,,115407,9832,96398,8.519413900369996,83.5287287599539,1.5567810903308579,413.802685546875,278.89379172945667,19.646121985668113,38.187458299756514,0.3977228417686969,0.013863977055117974,0.039858934033464175,30.45569159583041,88.74071763411231,90.78519121236778,7.734366199623939,8.715690390868346,86.29432145895143,72.08054970669023,81.2260162284085,republicans,38.187458299756514
CHATHAM,20415,13120,271,16,24,20483,41143,6048,109,7029,1695,23028,27183,4118,54329,2020-03-14,,51871,6605,41593,12.733511981646778,80.1854600836691,0.6997131191050104,708.890966796875,73.17204257007138,39.35725164350022,25.29351660850957,0.5224499238495498,0.03084575196159704,0.04626862794239556,39.48834608933701,104.73867864510035,91.5669947009841,11.659694241483681,11.132176185830772,98.91808717813093,79.31792330974919,75.72935264775718,unaffiliated,39.48834608933701
CHEROKEE,4258,10008,127,7,8,7012,20455,216,124,625,176,10153,11199,68,21420,2020-03-14,,22595,282,21065,1.248063730913919,93.22859039610533,0.3047949321620503,466.979931640625,48.385376906064764,18.844877185217968,44.292985173710996,0.5620712547023677,0.03098030537729586,0.035406063288338126,31.03341447222837,94.79973445452534,76.59574468085107,0.9559637087851295,1.0084033613445378,97.10420128174697,90.52887807036954,95.49486461251168,republicans,44.292985173710996
CHOWAN,4177,2680,32,3,1,2963,6413,2982,12,449,61,4297,5383,176,9856,2020-03-14,,11146,3774,7057,33.85968060290687,63.314193432621565,0.15035380897889852,233.3517333984375,47.76480481920703,37.47532747173874,24.044500269154852,0.28709851067647585,0.02691548537591961,0.00897182845863987,26.58352772294994,88.42634128835456,79.01430842607313,26.753992463664094,30.255681818181817,90.87430919654244,57.536335905257495,65.06696428571429,democrats,37.47532747173874
CLAY,1619,3856,55,3,5,3118,8251,46,15,344,58,4014,4435,207,8656,2020-03-14,,8704,133,8366,1.5280330882352942,96.11672794117646,0.11741248460006574,220.8263671875,39.4155829797697,18.600643382352942,44.3014705882353,0.6318933823529411,0.034466911764705885,0.05744485294117647,35.822610294117645,99.44852941176471,34.58646616541353,0.5284926470588235,0.5314232902033271,98.6253884771695,94.7954963235294,95.32116451016635,republicans,44.3014705882353
