CountyName,Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,date,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct
ALAMANCE,36792,33375,556,17,42,31955,70181,21076,258,11222,3998,44020,53978,4739,102737,2020-03-14,115973,31.724625559397445,28.778250109939382,0.4794219344157692,0.014658584325662008,0.03621532598104731,27.553827183913498,88.5869986979728
ALEXANDER,5242,10930,91,1,15,7518,21612,931,35,1219,334,11145,12006,646,23797,2020-03-14,28629,18.310105138146636,38.17807118655908,0.3178595130811415,0.003492961682210346,0.05239442523315519,26.260085926857382,83.12200915155961
ALLEGHANY,2194,2704,33,2,1,2259,6666,73,7,447,177,3330,3606,257,7193,2020-03-14,8638,25.399398008798332,31.303542486686734,0.3820328779810141,0.0231535077564251,0.01157675387821255,26.15188701088215,83.27159064598287
ANSON,10111,2478,29,7,24,3372,6656,6818,27,2520,82,6205,7558,2258,16021,2020-03-14,19935,50.719839478304486,12.430398796087283,0.145472786556308,0.03511412089290193,0.12039127163280662,16.91497366440933,80.36619011788312
ASHE,4539,8082,76,3,7,5660,17504,103,21,739,208,8491,9511,365,18367,2020-03-14,21275,21.334900117508813,37.9882491186839,0.3572267920094007,0.01410105757931845,0.03290246768507638,26.603995299647472,86.33137485311399
AVERY,1354,6750,53,3,3,3428,10925,76,18,572,87,5341,5967,283,11591,2020-03-14,14402,9.401472017775308,46.868490487432304,0.36800444382724623,0.02083044021663658,0.02083044021663658,23.802249687543398,80.48187751701153
BEAUFORT,11949,11115,102,8,9,9455,22804,7712,43,2079,468,14298,16912,1428,32638,2020-03-14,36615,32.634166325276524,30.35641130684146,0.27857435477263415,0.02184896900177523,0.024580090126997134,25.8227502389731,89.13833128499249
BERTIE,8649,1448,27,2,2,2707,4584,7664,19,568,37,5503,6941,391,12835,2020-03-14,16024,53.975287069395904,9.036445332001996,0.16849725411882177,0.012481278082875686,0.012481278082875686,16.893409885172243,80.09860209685472
BLADEN,10850,4373,51,1,7,6679,12596,7926,383,1056,430,9917,11710,334,21961,2020-03-14,25522,42.512342292923755,17.134237128751664,0.19982759971789044,0.0039181882297625575,0.027427317608337904,26.169579186584123,86.04733171381554
BRUNSWICK,26040,40988,469,16,35,38390,88975,8569,319,8075,1355,46744,53927,5267,105938,2020-03-14,103762,25.095892523274415,39.50193712534454,0.45199591372564135,0.015419903240107169,0.03373103833773443,36.99813033673214,102.09710684065458
BUNCOMBE,74301,44660,1521,157,79,75502,166570,10577,379,18694,3900,85839,101388,8993,196220,2020-03-14,198618,37.40899616348971,22.48537393388313,0.7657916200948555,0.07904620930630658,0.03977484417323707,38.01367449073095,98.7926572616782
BURKE,15417,20355,285,18,25,18487,47486,3166,79,3856,943,25023,28136,1428,54587,2020-03-14,70327,21.921879221351684,28.943364568373454,0.4052497618268944,0.02559472179959333,0.035548224721657404,26.287201217171216,77.6188377152445
CABARRUS,41493,49130,926,46,83,47566,94927,26180,351,17786,5217,60348,71385,7511,139244,2020-03-14,140011,29.635528637035662,35.09010006356643,0.6613766061238046,0.03285456142731642,0.05928105648841877,33.97304497503767,99.45218589967931
CALDWELL,11582,24047,362,31,19,15351,46036,2691,65,2600,869,23958,26399,1035,51392,2020-03-14,63099,18.35528296803436,38.1099541989572,0.5737016434491831,0.04912914626222285,0.030111412225233364,24.32843626681881,81.446615635747
CAMDEN,1809,2585,60,0,2,3224,6289,963,10,418,35,3635,3850,195,7680,2020-03-14,7869,22.9889439573008,32.85042572118439,0.7624857033930614,0.0,0.025416190113102047,40.9708984623205,97.59817003431186
CARTERET,10659,23063,247,5,12,18394,46499,2472,96,3313,546,23526,26569,2285,52380,2020-03-14,55387,19.244588080235435,41.63973495585607,0.4459530214671313,0.009027389098524925,0.021665733836459818,33.209959015653496,94.57092819614711
CASWELL,6895,3425,37,2,7,4365,9097,4813,17,804,157,6618,7653,460,14731,2020-03-14,18072,38.15294378043382,18.951969898185038,0.20473660911907923,0.011066843736166445,0.03873395307658256,24.153386454183266,81.51283753873395
CATAWBA,22673,44071,459,16,46,35148,83186,8926,120,10181,3310,46251,52413,3749,102413,2020-03-14,115407,19.646121985668113,38.187458299756514,0.3977228417686969,0.013863977055117974,0.039858934033464175,30.45569159583041,88.74071763411231
CHATHAM,20415,13120,271,16,24,20483,41143,6048,109,7029,1695,23028,27183,4118,54329,2020-03-14,51871,39.35725164350022,25.29351660850957,0.5224499238495498,0.03084575196159704,0.04626862794239556,39.48834608933701,104.73867864510035
CHEROKEE,4258,10008,127,7,8,7012,20455,216,124,625,176,10153,11199,68,21420,2020-03-14,22595,18.844877185217968,44.292985173710996,0.5620712547023677,0.03098030537729586,0.035406063288338126,31.03341447222837,94.79973445452534
CHOWAN,4177,2680,32,3,1,2963,6413,2982,12,449,61,4297,5383,176,9856,2020-03-14,11146,37.47532747173874,24.044500269154852,0.28709851067647585,0.02691548537591961,0.00897182845863987,26.58352772294994,88.42634128835456
CLAY,1619,3856,55,3,5,3118,8251,46,15,344,58,4014,4435,207,8656,2020-03-14,8704,18.600643382352942,44.3014705882353,0.6318933823529411,0.034466911764705885,0.05744485294117647,35.822610294117645,99.44852941176471
CLEVELAND,23129,21711,281,10,28,17897,45819,13437,88,3712,657,27977,33006,2073,63056,2020-03-14,74468,31.058978353118118,29.154804748348283,0.3773432883923296,0.013428586775527744,0.03760004297147768,24.033141752162003,84.67529677176773
