CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian
UNION,38997,65907,902,49,81,55477,119509,19068,417,22419,6696,71991,79885,9537,161413,2020-08-15,
VANCE,17998,4425,79,6,21,6166,11582,14869,53,2191,575,12129,15377,1189,28695,2020-08-15,
WAKE,281356,184461,5619,314,362,295884,482409,144199,1902,139486,28461,330255,378244,59497,767996,2020-08-15,
WARREN,8475,1975,41,0,3,2565,5145,6647,544,723,73,5737,6883,439,13059,2020-08-15,
WASHINGTON,5139,1168,18,0,0,1782,3668,4008,10,421,49,3500,4394,213,8107,2020-08-15,
WATAUGA,11775,13238,459,19,16,19237,40013,963,75,3693,1151,20160,23036,1548,44744,2020-08-15,
WAYNE,29262,24077,366,19,45,19496,41032,24173,138,7922,2371,31331,37875,4059,73265,2020-08-15,
WILKES,8194,22164,152,7,13,11295,37853,1608,46,2318,724,19053,21148,1624,41825,2020-08-15,
WILSON,27311,13521,192,10,35,14366,27276,22871,103,5185,1397,23601,29630,2204,55435,2020-08-15,
YADKIN,3484,13349,107,10,12,6752,21127,731,28,1828,760,10854,11895,965,23714,2020-08-15,
YANCEY,4434,4978,53,1,4,4172,12794,81,21,746,76,6276,6825,541,13642,2020-08-15,
ALAMANCE,36920,33843,558,20,46,32616,70230,21211,257,12305,4113,44140,54199,5664,104003,2020-07-11,
ALEXANDER,5163,11011,97,1,17,7590,21550,926,35,1368,340,11120,11968,791,23879,2020-07-11,
ALLEGHANY,2147,2741,31,3,2,2300,6653,74,8,489,179,3325,3601,298,7224,2020-07-11,
ANSON,10015,2579,30,8,23,3480,6674,6801,28,2632,84,6233,7547,2355,16135,2020-07-11,
ASHE,4505,8260,76,3,8,5779,17599,104,21,907,216,8561,9552,518,18631,2020-07-11,
AVERY,1348,6758,53,3,4,3425,10886,77,17,611,87,5327,5942,322,11591,2020-07-11,
BEAUFORT,11841,11337,103,12,15,9640,22912,7685,42,2309,477,14339,16940,1669,32948,2020-07-11,
BERTIE,8575,1472,29,2,2,2758,4554,7644,19,621,38,5488,6906,444,12838,2020-07-11,
BLADEN,10748,4510,57,3,7,6838,12614,7946,393,1210,440,9962,11741,460,22163,2020-07-11,
BRUNSWICK,26316,42016,477,18,36,39233,90243,8606,327,8920,1373,47371,54547,6178,108096,2020-07-11,
BUNCOMBE,73901,44321,1510,158,79,74992,165471,10508,375,18607,3871,85256,100716,8989,194961,2020-07-11,
BURKE,15261,20841,298,28,33,18927,47732,3179,79,4398,957,25226,28191,1971,55388,2020-07-11,
CABARRUS,42209,49704,954,55,98,48826,95114,26650,350,19732,5343,60906,71839,9101,141846,2020-07-11,
CALDWELL,11281,24240,352,35,22,15573,45766,2663,59,3015,897,23805,26228,1470,51503,2020-07-11,
CAMDEN,1777,2663,56,1,2,3301,6353,966,11,470,34,3669,3884,247,7800,2020-07-11,
CARTERET,9782,22122,229,7,18,17186,43486,2187,81,3590,495,21869,24805,2670,49344,2020-07-11,
CASWELL,6859,3522,39,4,6,4452,9120,4823,17,922,160,6620,7687,575,14882,2020-07-11,
CATAWBA,22586,44704,478,22,53,35922,83519,8954,119,11173,3423,46536,52636,4593,103765,2020-07-11,
CHATHAM,20557,13306,267,14,22,20951,41328,6032,116,7641,1734,23176,27287,4654,55117,2020-07-11,
CHEROKEE,4238,9968,126,7,9,6992,20364,215,123,638,177,10119,11152,69,21340,2020-07-11,
CHOWAN,4160,2699,33,3,2,3036,6424,3004,13,492,62,4341,5400,192,9933,2020-07-11,
CLAY,1609,3832,55,3,5,3099,8198,46,15,344,58,3989,4407,207,8603,2020-07-11,
CLEVELAND,22709,22430,292,12,42,18347,45975,13455,90,4312,671,28117,33092,2623,63832,2020-07-11,
COLUMBUS,16834,8370,87,5,16,9973,21977,10734,941,1633,316,15681,18783,821,35285,2020-07-11,
CRAVEN,21277,25183,432,32,32,22951,48855,14627,162,6263,1639,30436,36644,2827,69907,2020-07-11,
CUMBERLAND,93058,48662,1390,64,139,69630,89452,86538,2298,34655,12404,87090,109187,16666,212943,2020-07-11,
CURRITUCK,3545,8274,176,11,8,8776,18460,1081,45,1204,159,9794,10355,641,20790,2020-07-11,
DARE,7598,9434,189,12,11,11330,26297,520,35,1722,244,13107,14484,983,28574,2020-07-11,
DAVIDSON,23451,51285,493,29,49,32782,88391,10171,252,9275,2158,48263,54919,4907,108089,2020-07-11,
DAVIE,5005,15457,136,7,19,9487,25637,1882,35,2557,557,13647,15163,1301,30111,2020-07-11,
DUPLIN,12329,8430,101,3,22,8615,17900,8404,51,3145,1633,12764,15238,1498,29500,2020-07-11,
DURHAM,125528,25815,1154,120,62,78077,109800,78521,592,41843,9510,93856,118927,17973,230756,2020-07-11,
EDGECOMBE,22992,5982,81,6,14,5504,12102,20623,73,1781,441,14550,19112,917,34579,2020-07-11,
FORSYTH,102462,73530,1408,93,126,82010,159448,68661,508,31012,10614,109540,134822,15267,259629,2020-07-11,
FRANKLIN,16712,13915,261,20,29,13694,28569,10924,130,5008,1122,19277,22056,3298,44631,2020-07-11,
GASTON,41260,55031,883,45,107,45322,103699,24162,324,14463,3954,61808,73558,7282,142648,2020-07-11,
GATES,3822,1821,31,0,4,2336,4966,2582,17,449,42,3572,4070,372,8014,2020-07-11,
GRAHAM,1468,2729,26,0,3,1623,5419,4,267,159,19,2775,2980,94,5849,2020-07-11,
GRANVILLE,17263,9616,154,8,18,10998,22662,11864,78,3453,805,16149,19061,2847,38057,2020-07-11,
GREENE,5567,2279,22,5,4,3153,6123,4012,10,885,427,4879,5845,306,11030,2020-07-11,
GUILFORD,161334,90862,2074,142,154,112976,196094,125127,981,45340,10878,156751,196394,14397,367542,2020-07-11,
HALIFAX,22816,4590,93,8,5,8960,14174,19351,1064,1883,254,15780,19679,1013,36472,2020-07-11,
HARNETT,24717,27368,570,24,52,24064,48924,16562,454,10855,3748,32816,39176,4803,76795,2020-07-11,
HAYWOOD,14287,14521,282,13,26,15054,41493,465,105,2120,413,20103,23069,1011,44183,2020-07-11,
HENDERSON,17186,30920,490,33,33,34870,74044,2390,143,6955,2040,36679,43559,3294,83532,2020-07-11,
HERTFORD,10122,1434,34,3,9,3000,4648,9158,94,702,101,6160,8097,345,14602,2020-07-11,
HOKE,13908,6703,241,10,30,10214,13041,12278,1994,3793,2049,13738,16787,581,31106,2020-07-11,
HYDE,1546,545,17,1,0,970,2277,640,1,161,35,1400,1566,113,3079,2020-07-11,
IREDELL,28265,51373,656,39,49,43293,98209,13713,213,11540,3303,55803,62292,5580,123675,2020-07-11,
JACKSON,9334,7604,183,9,6,10528,23303,628,1365,2368,573,12213,14116,1335,27664,2020-07-11,
JOHNSTON,38458,51640,878,41,117,43624,96506,21665,375,16212,5841,60329,69682,4747,134758,2020-07-11,
JONES,3098,1998,30,1,1,2067,4441,2298,14,442,73,3230,3679,286,7195,2020-07-11,
LEE,13399,10744,214,4,25,12343,24175,7315,140,5099,2650,15743,19043,1943,36729,2020-07-11,
LENOIR,18361,9704,116,3,10,8967,19178,15493,62,2428,635,15796,19824,1541,37161,2020-07-11,
LINCOLN,12149,26958,303,18,31,19162,50183,3122,82,5234,1497,26582,29050,2989,58621,2020-07-11,
MACON,5804,10864,148,13,14,8792,24283,181,51,1120,345,11801,13551,283,25635,2020-07-11,
MADISON,5804,4294,114,10,5,5996,15046,170,26,981,163,7495,8007,721,16223,2020-07-11,
MARTIN,8822,3306,37,4,7,3855,8628,6788,29,586,130,7027,8733,271,16031,2020-07-11,
MCDOWELL,6812,11569,152,9,12,9774,26623,796,26,883,388,13313,14784,231,28328,2020-07-11,
MECKLENBURG,326728,164772,5186,300,369,260660,399596,240841,2057,115521,36017,326587,391973,39455,758015,2020-07-11,
MITCHELL,1058,6265,35,1,3,3155,9848,32,10,627,97,4860,5295,362,10517,2020-07-11,
MONTGOMERY,6196,5371,72,2,20,4496,11478,3180,42,1457,601,7366,8248,543,16157,2020-07-11,
MOORE,15908,28721,455,23,39,24779,56710,7894,312,5009,1285,31122,37102,1701,69925,2020-07-11,
NASH,31231,18898,249,9,39,15827,34483,26342,332,5096,1361,28810,35074,2369,66253,2020-07-11,
NEW HANOVER,50991,52605,1237,68,78,64334,131777,20540,382,16614,3181,72611,85203,11499,169313,2020-07-11,
NORTHAMPTON,9099,1419,28,4,4,3067,5242,7770,33,576,49,5918,7186,517,13621,2020-07-11,
ONSLOW,25174,40620,1163,42,108,42276,75912,18508,386,14577,5865,47420,56443,5520,109383,2020-07-11,
ORANGE,51625,14661,647,42,31,43666,77745,12087,258,20582,3847,46312,55408,8952,110672,2020-07-11,
PAMLICO,3201,3401,44,0,5,2652,7182,1522,28,571,82,4199,4765,339,9303,2020-07-11,
PASQUOTANK,11309,6366,168,16,12,9523,15652,9676,41,2025,285,11932,14380,1082,27394,2020-07-11,
PENDER,11472,16263,296,10,24,13981,32283,5988,100,3675,858,18954,21242,1850,42046,2020-07-11,
PERQUIMANS,3168,2737,34,2,7,3051,6629,1969,18,383,38,4079,4714,206,8999,2020-07-11,
PERSON,10956,6905,101,5,8,8255,17387,6996,124,1723,365,11569,13758,903,26230,2020-07-11,
PITT,51899,30916,739,54,73,37354,67387,41822,255,11571,2778,50765,63991,6279,121035,2020-07-11,
POLK,3936,5700,87,9,9,5995,14203,665,7,861,212,7096,8282,358,15736,2020-07-11,
RANDOLPH,16786,46193,528,28,54,26424,76169,5693,276,7875,2957,40942,45783,3288,90013,2020-07-11,
RICHMOND,13865,6242,88,10,23,8207,16935,9364,395,1741,401,12608,15097,730,28435,2020-07-11,
ROBESON,42908,10254,202,14,66,20801,21222,20546,26086,6391,1715,32706,40520,1019,74245,2020-07-11,
ROCKINGHAM,19817,21655,278,14,36,17132,43100,11301,107,4424,919,26938,31875,119,58932,2020-07-11,
ROWAN,24763,38622,441,36,50,28826,68752,15564,181,8241,2115,41151,47039,4548,92738,2020-07-11,
RUTHERFORD,12170,17484,213,11,21,13730,36511,4190,65,2863,637,19472,22505,1652,43629,2020-07-11,
SAMPSON,14173,13796,138,5,20,8002,21476,10464,524,3670,2002,15864,19312,958,36134,2020-07-11,
SCOTLAND,11107,3741,67,7,18,6248,9713,8384,1594,1497,183,8878,11456,854,21188,2020-07-11,
STANLY,9584,18960,157,13,29,12577,33335,4344,81,3560,456,18424,20732,2164,41320,2020-07-11,
STOKES,6312,15266,156,8,16,8439,27102,1207,54,1834,311,14264,15806,127,30197,2020-07-11,
SURRY,11335,19795,136,12,15,13557,39330,1748,53,3719,1467,20012,23065,1773,44850,2020-07-11,
SWAIN,3334,2682,37,4,0,3436,7509,115,1502,367,59,4441,4963,89,9493,2020-07-11,
