CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian
FORSYTH,102140,73424,1398,88,112,80825,159476,68650,514,29347,10480,109413,134932,13642,257987,2020-03-28,
FRANKLIN,16713,13779,246,17,29,13507,28640,10972,130,4549,1111,19343,22125,2823,44291,2020-03-28,
GASTON,41111,54420,830,36,92,44725,103426,23964,322,13502,3920,61497,73269,6448,141214,2020-03-28,
GATES,3830,1756,29,0,2,2275,4894,2572,16,410,41,3536,4023,333,7892,2020-03-28,
GRAHAM,1496,2686,26,0,2,1593,5395,4,268,136,19,2762,2971,70,5803,2020-03-28,
GRANVILLE,17321,9536,148,7,13,10873,22760,11919,77,3142,801,16217,19173,2508,37898,2020-03-28,
GREENE,5645,2238,21,5,4,3118,6161,4035,10,825,421,4896,5886,249,11031,2020-03-28,
GUILFORD,160716,90539,2048,123,141,111525,196176,125146,981,42789,10777,156375,196291,12426,365092,2020-03-28,
HALIFAX,22933,4559,96,8,5,8849,14213,19395,1068,1774,254,15816,19736,898,36450,2020-03-28,
HARNETT,24672,27094,539,23,48,23715,48948,16549,454,10140,3694,32809,39110,4172,76091,2020-03-28,
HAYWOOD,14429,14060,276,11,19,14569,40924,456,101,1883,391,19819,22737,808,43364,2020-03-28,
HENDERSON,17025,30662,485,29,31,34288,73635,2366,143,6376,2001,36423,43279,2818,82520,2020-03-28,
HERTFORD,10180,1420,32,3,9,2949,4668,9184,90,651,102,6167,8128,298,14593,2020-03-28,
HOKE,13835,6576,226,10,27,10072,12843,12154,1982,3767,2010,13534,16601,611,30746,2020-03-28,
HYDE,1550,531,16,1,0,952,2270,645,1,134,36,1394,1569,87,3050,2020-03-28,
IREDELL,28224,50745,630,35,44,42624,97958,13686,212,10446,3269,55566,62170,4566,122302,2020-03-28,
JACKSON,9481,7671,198,9,6,10650,23570,665,1380,2400,579,12360,14301,1354,28015,2020-03-28,
JOHNSTON,38296,50961,846,32,105,42791,96330,21575,376,14750,5733,59669,68957,4405,133031,2020-03-28,
JONES,3110,1969,25,1,1,2038,4429,2294,15,406,73,3235,3663,246,7144,2020-03-28,
LEE,13404,10571,206,4,18,12119,24150,7339,137,4696,2627,15719,19016,1587,36322,2020-03-28,
LENOIR,18482,9681,109,2,10,8915,19284,15559,64,2292,632,15897,19914,1388,37199,2020-03-28,
LINCOLN,12145,26665,296,13,28,18934,50194,3121,82,4684,1477,26599,28998,2484,58081,2020-03-28,
MACON,5860,10830,147,14,14,8780,24337,182,50,1076,342,11816,13575,254,25645,2020-03-28,
MADISON,5843,4318,113,10,5,6027,15140,176,27,973,166,7543,8058,715,16316,2020-03-28,
MARTIN,8922,3287,38,2,6,3831,8686,6837,29,534,129,7092,8770,224,16086,2020-03-28,
MCDOWELL,6935,11298,153,8,10,9554,26493,798,25,642,373,13242,14716,0,27958,2020-03-28,
MECKLENBURG,323342,164334,5077,235,329,255964,398396,239742,2032,109111,35604,324921,390522,33838,749281,2020-03-28,
MITCHELL,1048,6203,34,1,3,3119,9813,31,9,555,96,4847,5274,287,10408,2020-03-28,
