registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registered(%),CountyName,most_new_registrants(party),most_new_registered(%)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALAMANCE,democrats,0.0
1.0,6.0,0.0,0.0,0.0,-22.0,6.0,-10.0,1.0,-12.0,0.0,-8.0,2.0,-9.0,-15.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.000862269666214388,0.005173617997289881,0.0,0.0,0.0,-0.018969932656737853,-0.012934044993230032,-0.042789901583233814,-0.008622696662154539,-0.006748624967659822,0.007095721280066414,0.005173617997293434,0.015837885198180857,0.000862269666214388,ALAMANCE,republicans,0.005173617997289881
58.0,23.0,0.0,0.0,0.0,1.0,70.0,7.0,1.0,4.0,11.0,38.0,51.0,-7.0,82.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.05001164064049135,0.01983220232295224,0.0,0.0,0.0,0.0008622696662179408,0.07070611262966509,0.029952931108255143,0.006035887663507822,-0.009570793626952678,0.08278341493412711,0.06035887663507822,0.013630907333521236,0.05001164064049135,ALAMANCE,democrats,0.05001164064049135
59.0,22.0,-1.0,-1.0,0.0,-3.0,66.0,6.0,1.0,3.0,9.0,35.0,49.0,-8.0,76.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.05087391030670929,0.018969932656737853,-0.0008622696662154428,-0.0008622696662154115,0.0,-0.002586808998643164,0.06553249463237876,0.02567394094992892,0.005173617997293434,-0.009346170936108678,0.07805293408074476,0.05690979797021356,0.013727132183802837,0.05087391030670929,ALAMANCE,democrats,0.05087391030670929
113.0,36.0,-2.0,-1.0,-2.0,8.0,116.0,26.0,2.0,8.0,15.0,60.0,99.0,-7.0,152.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.09743647228233954,0.031041707983753497,-0.00172453933243083,-0.0008622696662154115,-0.001724539332430823,0.0068981573297257626,0.1310649892647433,0.11125374411638234,0.02241901132160251,-0.005051485919810972,0.13718394474797435,0.1000232812809898,0.011860208437511233,0.09743647228233954,ALAMANCE,democrats,0.09743647228233954
99.0,131.0,-5.0,0.0,-5.0,109.0,182.0,61.0,2.0,84.0,40.0,119.0,168.0,42.0,329.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.0853646969553239,0.11295732627421984,-0.004311348331077047,0.0,-0.004311348331077061,0.09398739361748198,0.28368672018487473,0.26101839965767226,0.05259844963914162,-0.0063250699256869325,0.21523687882873332,0.15693307925120337,-0.04149602586763024,0.0853646969553239,ALAMANCE,republicans,0.11295732627421984
91.0,145.0,-16.0,1.0,-5.0,161.0,194.0,76.0,1.0,106.0,42.0,139.0,174.0,64.0,377.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.07846653962560168,0.12502910160123548,-0.013796314659446585,0.0008622696662154133,-0.004311348331077061,0.13882541626068345,0.325075664163208,0.325203252032523,0.06553249463237165,-0.0013196865343125808,0.22942832138886615,0.16728031524579023,-0.061662516631699305,0.07846653962560168,ALAMANCE,unaffiliated,0.13882541626068345
199.0,325.0,-17.0,2.0,-3.0,355.0,428.0,183.0,2.0,248.0,82.0,317.0,380.0,164.0,861.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.17159166357686573,0.2802376415200065,-0.014658584325662027,0.0017245393324308248,-0.002586808998646238,0.3061057315064737,0.7424141826114692,0.7830551989730452,0.1577953489174213,0.006115760612924959,0.5061614513115273,0.3690514171401986,-0.15472646778304977,0.17159166357686573,ALAMANCE,unaffiliated,0.3061057315064737
194.0,335.0,-16.0,2.0,-1.0,369.0,420.0,187.0,2.0,274.0,84.0,316.0,383.0,184.0,883.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.16728031524579023,0.28886033818216106,-0.013796314659446585,0.0017245393324308248,-0.0008622696662154081,0.31817750683348933,0.7613841152682141,0.8001711596063217,0.1612444275822824,0.005617393313229968,0.49670048960476265,0.3621532598104693,-0.17694767738780115,0.16728031524579023,ALAMANCE,unaffiliated,0.31817750683348933
215.0,352.0,-16.0,2.0,-1.0,396.0,423.0,198.0,2.0,325.0,87.0,322.0,398.0,228.0,948.0,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,0.0,266.8662577183425,0.1853879782363137,0.3035189225078234,-0.013796314659446585,0.0017245393324308248,-0.0008622696662154081,0.34145878782130623,0.8174316435722062,0.8472400513478817,0.17072939391065134,0.003355919922892525,0.500248350244803,0.3647400688091196,-0.21681866765186442,0.1853879782363137,ALAMANCE,unaffiliated,0.34145878782130623
