Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct,CountyName
210.0,422.0,-8.0,2.0,3.0,570.0,220.0,160.0,1.0,818.0,123.0,208.0,340.0,651.0,1199.0,115973,0.18107662990523465,0.36387779914290164,-0.00689815732972332,0.0017245393324308248,0.002586808998646238,0.4914937097427874,1.0338613297922876,ALAMANCE
223.0,437.0,-6.0,2.0,2.0,598.0,218.0,165.0,1.0,872.0,124.0,213.0,339.0,704.0,1256.0,115973,0.1922861355660359,0.3768118441361352,-0.00517361799729249,0.0017245393324308248,0.001724539332430823,0.5156372603968187,1.0830107007665646,ALAMANCE
223.0,453.0,-5.0,2.0,2.0,612.0,185.0,168.0,1.0,933.0,129.0,201.0,326.0,760.0,1287.0,115973,0.1922861355660359,0.39060815879557964,-0.004311348331077047,0.0017245393324308248,0.001724539332430823,0.5277090357238343,1.109741060419239,ALAMANCE
241.0,504.0,0.0,2.0,2.0,669.0,165.0,161.0,1.0,1091.0,130.0,180.0,320.0,918.0,1418.0,115973,0.20780698955791266,0.4345839117725667,0.0,0.0017245393324308248,0.001724539332430823,0.5768584066981113,1.2226983866934518,ALAMANCE
273.0,561.0,4.0,2.0,1.0,714.0,196.0,184.0,0.0,1175.0,139.0,210.0,366.0,979.0,1555.0,115973,0.23539961887680505,0.4837332827468437,0.00344907866486166,0.0017245393324308248,0.000862269666215415,0.6156605416778049,1.340829330964965,ALAMANCE
297.0,586.0,10.0,2.0,1.0,753.0,186.0,189.0,0.0,1274.0,147.0,211.0,373.0,1065.0,1649.0,115973,0.25609409086597523,0.5052900244022318,0.008622696662154095,0.0017245393324308248,0.000862269666215415,0.6492890586602087,1.421882679589217,ALAMANCE
301.0,637.0,10.0,3.0,3.0,780.0,152.0,197.0,0.0,1385.0,157.0,200.0,364.0,1170.0,1734.0,115973,0.25954316953083634,0.5492657773792153,0.008622696662154095,0.0025868089986462364,0.002586808998646238,0.672570339648022,1.4951756012175252,ALAMANCE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALEXANDER
3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,8.0,1.0,0.0,9.0,28629,0.010478885046630637,0.013971846728843218,0.0,0.0,0.0,0.006985923364421609,0.031436655139884806,ALEXANDER
2.0,5.0,0.0,0.0,0.0,3.0,3.0,-1.0,0.0,8.0,0.0,10.0,0.0,0.0,10.0,28629,0.006985923364418056,0.017464808411048693,0.0,0.0,0.0,0.010478885046630637,0.03492961682209739,ALEXANDER
