"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37095","Hyde County, North Carolina","37","44","33","42","33","42","33","42","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","4","12","0","17","0","17","0","17","0","17","0","17","4","12","4","12","0","17","0","17","0","17"
"0500000US37119","Mecklenburg County, North Carolina","30116","1667","14342","996","6959","679","6832","681","127","86","0","29","127","86","7383","633","5848","578","1535","296","688","210","847","248","15774","1124","6438","740","6368","754","70","47","0","29","70","47","9336","710","8242","688","1094","232","573","201","521","148"
"0500000US37131","Northampton County, North Carolina","453","270","267","157","80","71","80","71","0","23","0","23","0","23","187","115","184","115","3","5","3","5","0","23","186","154","112","127","112","127","0","23","0","23","0","23","74","50","71","50","3","5","0","23","3","5"
"0500000US37159","Rowan County, North Carolina","2857","484","1658","312","545","170","541","170","4","5","4","5","0","29","1113","286","1061","276","52","46","10","19","42","41","1199","267","550","158","550","158","0","29","0","29","0","29","649","186","641","186","8","13","8","13","0","29"
"0500000US37181","Vance County, North Carolina","913","321","577","220","328","201","290","186","38","58","0","26","38","58","249","116","218","87","31","51","4","14","27","50","336","161","223","143","195","141","28","41","0","26","28","41","113","63","83","50","30","42","4","15","26","42"
"0500000US37053","Currituck County, North Carolina","581","229","285","135","128","68","128","68","0","23","0","23","0","23","157","101","154","103","3","6","3","6","0","23","296","131","127","101","127","101","0","23","0","23","0","23","169","74","166","74","3","7","3","7","0","23"
"0500000US37179","Union County, North Carolina","5114","767","2499","512","1326","368","1326","368","0","29","0","29","0","29","1173","252","997","232","176","104","18","21","158","103","2615","433","1413","262","1406","263","7","12","7","12","0","29","1202","260","1092","251","110","63","33","33","77","52"
"0500000US37067","Forsyth County, North Carolina","8783","1086","4139","638","2111","414","2111","414","0","29","0","29","0","29","2028","338","1869","324","159","71","64","51","95","58","4644","757","2463","591","2455","591","8","13","0","29","8","13","2181","341","1956","314","225","115","50","44","175","110"
"0500000US37127","Nash County, North Carolina","2596","583","1357","380","700","235","700","235","0","29","0","29","0","29","657","222","596","220","61","51","11","17","50","48","1239","297","696","219","696","219","0","29","0","29","0","29","543","195","472","189","71","56","41","42","30","36"
"0500000US37017","Bladen County, North Carolina","375","162","225","128","59","46","59","46","0","26","0","26","0","26","166","129","88","83","78","102","0","26","78","102","150","80","56","47","56","47","0","26","0","26","0","26","94","61","75","46","19","31","0","26","19","31"
"0500000US37055","Dare County, North Carolina","950","201","410","164","243","132","243","132","0","26","0","26","0","26","167","120","167","120","0","26","0","26","0","26","540","213","240","141","238","141","2","5","2","5","0","26","300","142","300","142","0","26","0","26","0","26"
"0500000US37185","Warren County, North Carolina","412","156","235","120","82","66","82","66","0","23","0","23","0","23","153","80","153","80","0","23","0","23","0","23","177","95","64","59","64","59","0","23","0","23","0","23","113","72","113","72","0","23","0","23","0","23"
"0500000US37195","Wilson County, North Carolina","1969","622","931","435","487","229","487","229","0","29","0","29","0","29","444","234","389","224","55","75","50","74","5","8","1038","299","644","224","644","224","0","29","0","29","0","29","394","151","323","125","71","86","43","62","28","29"
"0500000US37015","Bertie County, North Carolina","299","194","138","95","52","50","51","49","1","6","1","6","0","19","86","66","86","66","0","19","0","19","0","19","161","117","94","88","94","88","0","19","0","19","0","19","67","51","67","51","0","19","0","19","0","19"
"0500000US37073","Gates County, North Carolina","180","113","59","48","37","36","37","36","0","19","0","19","0","19","22","30","3","7","19","30","19","30","0","19","121","105","86","83","86","83","0","19","0","19","0","19","35","34","35","34","0","19","0","19","0","19"
"0500000US37075","Graham County, North Carolina","88","97","37","49","25","43","25","43","0","17","0","17","0","17","12","20","12","20","0","17","0","17","0","17","51","53","36","49","36","49","0","17","0","17","0","17","15","23","15","23","0","17","0","17","0","17"
"0500000US37117","Martin County, North Carolina","261","126","131","79","80","65","80","65","0","23","0","23","0","23","51","46","51","46","0","23","0","23","0","23","130","90","84","78","84","78","0","23","0","23","0","23","46","37","46","37","0","23","0","23","0","23"
"0500000US37115","Madison County, North Carolina","241","98","64","52","18","28","18","28","0","23","0","23","0","23","46","50","45","50","1","3","1","3","0","23","177","98","76","90","76","90","0","23","0","23","0","23","101","82","99","82","2","5","2","5","0","23"
"0500000US37137","Pamlico County, North Carolina","458","107","304","97","197","72","197","72","0","19","0","19","0","19","107","67","107","67","0","19","0","19","0","19","154","50","109","46","109","46","0","19","0","19","0","19","45","20","24","20","21","22","21","22","0","19"
"0500000US37143","Perquimans County, North Carolina","96","53","36","30","0","19","0","19","0","19","0","19","0","19","36","30","36","30","0","19","0","19","0","19","60","41","35","28","35","28","0","19","0","19","0","19","25","29","25","29","0","19","0","19","0","19"
"0500000US37149","Polk County, North Carolina","196","117","108","75","63","51","63","51","0","23","0","23","0","23","45","42","45","42","0","23","0","23","0","23","88","54","12","18","12","18","0","23","0","23","0","23","76","50","71","50","5","8","5","8","0","23"
"0500000US37151","Randolph County, North Carolina","2810","362","1167","235","518","150","518","150","0","29","0","29","0","29","649","141","609","136","40","49","40","49","0","29","1643","270","872","208","872","208","0","29","0","29","0","29","771","145","754","146","17","24","17","24","0","29"
"0500000US37157","Rockingham County, North Carolina","1788","374","882","237","456","155","456","155","0","29","0","29","0","29","426","167","398","161","28","29","12","19","16","23","906","224","465","168","465","168","0","29","0","29","0","29","441","141","413","132","28","37","16","29","12","21"
"0500000US37169","Stokes County, North Carolina","615","273","375","190","107","76","107","76","0","26","0","26","0","26","268","157","180","128","88","111","0","26","88","111","240","133","149","122","149","122","0","26","0","26","0","26","91","76","91","76","0","26","0","26","0","26"
"0500000US37187","Washington County, North Carolina","415","308","308","245","118","100","117","100","1","2","1","2","0","19","190","175","186","175","4","7","0","19","4","7","107","123","0","19","0","19","0","19","0","19","0","19","107","123","107","123","0","19","0","19","0","19"
"0500000US37029","Camden County, North Carolina","141","107","67","76","51","44","51","44","0","19","0","19","0","19","16","35","16","35","0","19","0","19","0","19","74","61","46","53","46","53","0","19","0","19","0","19","28","35","28","35","0","19","0","19","0","19"
"0500000US37043","Clay County, North Carolina","42","58","38","58","0","19","0","19","0","19","0","19","0","19","38","58","38","58","0","19","0","19","0","19","4","6","4","6","4","6","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"0500000US37051","Cumberland County, North Carolina","19365","1159","9914","673","4990","419","4990","419","0","29","0","29","0","29","4924","507","4621","504","303","137","253","125","50","44","9451","702","4824","494","4742","481","82","92","41","65","41","69","4627","416","4038","372","589","193","350","121","239","142"
"0500000US37071","Gaston County, North Carolina","5318","635","2703","400","1717","342","1717","342","0","29","0","29","0","29","986","184","932","184","54","41","21","21","33","30","2615","388","1472","295","1472","295","0","29","0","29","0","29","1143","211","1042","196","101","63","59","52","42","37"
"0500000US37081","Guilford County, North Carolina","12854","1582","5897","832","3121","549","3016","544","105","74","2","3","103","73","2776","441","2336","412","440","160","114","74","326","140","6957","927","3475","648","3397","653","78","65","0","29","78","65","3482","453","3129","417","353","115","156","73","197","92"
"0500000US37099","Jackson County, North Carolina","1348","283","710","194","428","151","428","151","0","26","0","26","0","26","282","130","282","130","0","26","0","26","0","26","638","170","221","99","221","99","0","26","0","26","0","26","417","134","408","133","9","16","0","26","9","16"
"0500000US37125","Moore County, North Carolina","1476","396","759","240","382","170","364","159","18","30","0","29","18","30","377","130","377","130","0","29","0","29","0","29","717","215","289","145","289","145","0","29","0","29","0","29","428","152","394","136","34","41","21","31","13","24"
"0500000US37155","Robeson County, North Carolina","2984","440","1621","303","800","178","800","178","0","29","0","29","0","29","821","201","776","196","45","44","2","5","43","44","1363","248","587","117","587","117","0","29","0","29","0","29","776","182","741","180","35","24","0","29","35","24"
"0500000US37167","Stanly County, North Carolina","1052","289","453","132","241","107","241","107","0","29","0","29","0","29","212","85","195","79","17","26","6","12","11","21","599","193","270","109","270","109","0","29","0","29","0","29","329","156","291","151","38","62","0","29","38","62"
"0500000US37183","Wake County, North Carolina","32247","2134","15277","1306","7770","910","7654","912","116","106","57","99","59","50","7507","825","6343","731","1164","312","708","252","456","158","16970","1244","7939","743","7705","710","234","123","80","69","154","100","9031","904","7848","812","1183","254","751","205","432","132"
"0500000US37199","Yancey County, North Carolina","265","109","134","61","92","57","92","57","0","19","0","19","0","19","42","29","42","29","0","19","0","19","0","19","131","70","32","32","32","32","0","19","0","19","0","19","99","74","99","74","0","19","0","19","0","19"
"0500000US37037","Chatham County, North Carolina","1984","377","878","276","606","180","598","180","8","14","0","29","8","14","272","163","263","162","9","13","0","29","9","13","1106","223","532","151","518","144","14","23","0","29","14","23","574","173","482","165","92","57","24","28","68","53"
"0500000US37111","McDowell County, North Carolina","624","187","432","176","213","99","213","99","0","26","0","26","0","26","219","126","209","123","10","20","0","26","10","20","192","74","81","46","81","46","0","26","0","26","0","26","111","60","111","60","0","26","0","26","0","26"
"0500000US37101","Johnston County, North Carolina","5008","785","2740","467","1446","359","1446","359","0","29","0","29","0","29","1294","291","1105","259","189","175","83","71","106","164","2268","466","1327","342","1327","342","0","29","0","29","0","29","941","275","731","220","210","192","69","65","141","179"
