"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37087","Haywood County, North Carolina","891","278","493","152","157","86","157","86","0","29","0","29","0","29","336","102","294","72","42","71","42","71","0","29","398","162","144","64","144","64","0","29","0","29","0","29","254","121","222","96","32","54","24","41","8","15"
"0500000US37005","Alleghany County, North Carolina","83","52","43","34","20","25","20","25","0","19","0","19","0","19","23","22","22","22","1","2","0","19","1","2","40","30","15","21","15","21","0","19","0","19","0","19","25","22","25","22","0","19","0","19","0","19"
"0500000US37045","Cleveland County, North Carolina","1344","338","611","190","271","125","271","125","0","29","0","29","0","29","340","128","294","124","46","69","46","69","0","29","733","210","445","168","445","168","0","29","0","29","0","29","288","123","288","123","0","29","0","29","0","29"
"0500000US37077","Granville County, North Carolina","2301","603","1269","356","760","254","760","254","0","29","0","29","0","29","509","186","336","134","173","135","30","30","143","132","1032","358","522","210","519","209","3","5","3","5","0","29","510","250","420","232","90","97","31","38","59","89"
"0500000US37093","Hoke County, North Carolina","2707","566","1394","263","743","197","743","197","0","29","0","29","0","29","651","150","607","150","44","44","10","17","34","39","1313","361","759","264","737","266","22","32","0","29","22","32","554","204","471","199","83","69","9","15","74","67"
"0500000US37097","Iredell County, North Carolina","3352","435","1649","282","1008","226","1007","226","1","3","1","3","0","29","641","139","601","135","40","33","19","17","21","27","1703","296","851","178","851","178","0","29","0","29","0","29","852","254","823","251","29","29","29","29","0","29"
"0500000US37147","Pitt County, North Carolina","4177","640","2098","396","940","271","940","271","0","29","0","29","0","29","1158","228","1097","223","61","48","28","30","33","38","2079","429","873","297","873","297","0","29","0","29","0","29","1206","276","1087","246","119","124","76","102","43","42"
"0500000US37039","Cherokee County, North Carolina","601","143","349","73","91","49","91","49","0","23","0","23","0","23","258","63","247","58","11","20","11","20","0","23","252","126","60","48","60","48","0","23","0","23","0","23","192","94","176","90","16","30","16","30","0","23"
"0500000US37193","Wilkes County, North Carolina","1072","316","498","200","355","180","355","180","0","29","0","29","0","29","143","73","97","68","46","42","46","42","0","29","574","224","460","204","460","204","0","29","0","29","0","29","114","69","95","66","19","21","8","12","11","17"
"0500000US37003","Alexander County, North Carolina","506","245","231","187","84","76","84","76","0","26","0","26","0","26","147","175","147","175","0","26","0","26","0","26","275","147","141","114","141","114","0","26","0","26","0","26","134","98","112","87","22","35","0","26","22","35"
"0500000US37031","Carteret County, North Carolina","1771","248","916","187","525","152","525","152","0","29","0","29","0","29","391","88","341","78","50","44","4","7","46","43","855","142","408","95","405","94","3","5","3","5","0","29","447","104","410","106","37","33","20","19","17","28"
"0500000US37139","Pasquotank County, North Carolina","1002","366","493","203","359","182","359","182","0","26","0","26","0","26","134","82","134","82","0","26","0","26","0","26","509","210","262","142","262","142","0","26","0","26","0","26","247","124","237","124","10","15","10","15","0","26"
"0500000US37173","Swain County, North Carolina","586","281","306","157","131","96","131","96","0","19","0","19","0","19","175","102","175","102","0","19","0","19","0","19","280","153","99","63","99","63","0","19","0","19","0","19","181","124","172","123","9","14","9","14","0","19"
"0500000US37007","Anson County, North Carolina","284","116","198","97","61","62","61","62","0","23","0","23","0","23","137","81","137","81","0","23","0","23","0","23","86","56","39","38","39","38","0","23","0","23","0","23","47","38","47","38","0","23","0","23","0","23"
"0500000US37069","Franklin County, North Carolina","1559","377","802","228","423","166","416","167","7","13","0","29","7","13","379","117","327","107","52","47","11","18","41","43","757","231","371","158","365","157","6","13","0","29","6","13","386","123","346","119","40","38","0","29","40","38"
"0500000US37113","Macon County, North Carolina","320","137","166","100","54","55","54","55","0","26","0","26","0","26","112","73","95","71","17","27","17","27","0","26","154","80","0","26","0","26","0","26","0","26","0","26","154","80","154","80","0","26","0","26","0","26"
"0500000US37175","Transylvania County, North Carolina","465","176","268","97","167","99","167","99","0","26","0","26","0","26","101","65","101","65","0","26","0","26","0","26","197","118","91","77","91","77","0","26","0","26","0","26","106","75","106","75","0","26","0","26","0","26"
"0500000US37047","Columbus County, North Carolina","540","170","278","113","107","68","107","68","0","29","0","29","0","29","171","75","146","70","25","28","15","23","10","16","262","89","188","76","188","76","0","29","0","29","0","29","74","39","74","39","0","29","0","29","0","29"
"0500000US37123","Montgomery County, North Carolina","480","280","186","126","149","106","149","106","0","23","0","23","0","23","37","34","32","33","5","8","0","23","5","8","294","188","200","148","200","148","0","23","0","23","0","23","94","80","72","62","22","30","22","30","0","23"
"0500000US37153","Richmond County, North Carolina","750","293","390","200","223","164","222","164","1","2","1","2","0","26","167","85","126","76","41","55","0","26","41","55","360","178","185","149","185","149","0","26","0","26","0","26","175","81","165","80","10","16","0","26","10","16"
"0500000US37171","Surry County, North Carolina","862","263","474","159","189","91","189","91","0","29","0","29","0","29","285","111","234","97","51","42","17","28","34","28","388","152","178","97","178","97","0","29","0","29","0","29","210","91","175","86","35","26","19","21","16","18"
"0500000US37021","Buncombe County, North Carolina","5518","624","2851","379","1510","323","1510","323","0","29","0","29","0","29","1341","229","1320","227","21","24","7","11","14","22","2667","421","1175","321","1149","311","26","47","26","47","0","29","1492","268","1380","249","112","94","27","30","85","93"
"0500000US37025","Cabarrus County, North Carolina","4643","753","2362","441","1317","302","1310","300","7","11","0","29","7","11","1045","269","918","250","127","89","57","46","70","74","2281","431","1121","344","1121","344","0","29","0","29","0","29","1160","245","992","214","168","79","135","72","33","37"
"0500000US37057","Davidson County, North Carolina","2808","550","1379","300","793","212","774","215","19","31","19","31","0","29","586","153","585","154","1","7","0","29","1","7","1429","316","829","245","829","245","0","29","0","29","0","29","600","149","565","153","35","37","35","37","0","29"
"0500000US37091","Hertford County, North Carolina","589","207","236","90","108","76","108","76","0","23","0","23","0","23","128","55","116","53","12","14","0","23","12","14","353","162","121","78","121","78","0","23","0","23","0","23","232","99","232","99","0","23","0","23","0","23"
"0500000US37141","Pender County, North Carolina","1597","394","854","272","339","178","339","178","0","29","0","29","0","29","515","178","515","178","0","29","0","29","0","29","743","211","491","173","491","173","0","29","0","29","0","29","252","118","252","118","0","29","0","29","0","29"
"0500000US37189","Watauga County, North Carolina","832","201","437","120","194","89","194","89","0","29","0","29","0","29","243","103","222","95","21","32","0","29","21","32","395","125","187","104","187","104","0","29","0","29","0","29","208","74","181","69","27","30","27","30","0","29"
"0500000US37177","Tyrrell County, North Carolina","79","79","30","40","21","38","21","38","0","12","0","12","0","12","9","13","9","13","0","12","0","12","0","12","49","45","40","44","40","44","0","12","0","12","0","12","9","10","9","10","0","12","0","12","0","12"
"0400000US37","North Carolina","263301","6193","130755","3641","67061","2370","66378","2340","683","233","163","123","520","195","63694","2341","56532","2027","7162","693","3194","460","3968","583","132546","3510","65709","2418","65091","2425","618","192","162","111","456","155","66837","2046","59888","1993","6949","661","3668","453","3281","424"
