"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37037","Chatham County, North Carolina","9011","*****","5025","385","2133","371","1956","357","177","292","40","68","137","225","2892","158","709","351","2183","374","854","364","1329","468","3986","385","1575","371","1575","371","0","210","0","210","0","210","2411","158","412","298","1999","306","238","264","1761","349"
"0500000US37085","Harnett County, North Carolina","17464","*****","9524","448","3944","448","3874","453","70","112","0","210","70","112","5580","*****","2482","600","3098","600","523","383","2575","606","7940","448","3040","448","2705","545","335","350","0","210","335","350","4900","*****","2067","767","2833","767","881","449","1952","732"
"0500000US37195","Wilson County, North Carolina","8793","*****","4269","394","1658","336","1595","358","63","118","0","210","63","118","2611","161","1140","461","1471","511","178","148","1293","483","4524","394","2112","336","2060","337","52","105","0","210","52","105","2412","161","1200","489","1212","520","433","321","779","396"
"0500000US37035","Catawba County, North Carolina","15748","*****","8156","549","3149","499","3097","502","52","81","44","80","8","15","5007","204","1630","446","3377","430","861","491","2516","651","7592","549","3121","498","2922","432","199","214","0","210","199","214","4471","204","895","473","3576","543","998","453","2578","706"
"0500000US37057","Davidson County, North Carolina","12183","*****","5778","594","2190","498","2021","610","169","258","0","210","169","258","3588","338","1096","476","2492","532","476","431","2016","465","6405","594","2813","498","2338","643","475","579","0","210","475","579","3592","338","999","478","2593","578","592","386","2001","536"
"0500000US37067","Forsyth County, North Carolina","49429","*****","24934","*****","10607","*****","10031","564","576","564","0","210","576","564","14327","*****","3506","970","10821","970","1169","522","9652","1133","24495","*****","10151","*****","9833","245","318","245","37","68","281","255","14344","*****","5054","812","9290","812","2774","874","6516","1021"
"0500000US37001","Alamance County, North Carolina","21498","*****","10825","441","4415","441","4368","442","47","69","14","25","33","64","6410","*****","2464","499","3946","499","298","192","3648","503","10673","442","4291","441","4291","441","0","210","0","210","0","210","6382","*****","2051","475","4331","474","1322","539","3009","607"
"0500000US37135","Orange County, North Carolina","12584","*****","5013","696","2080","488","2080","488","0","210","0","210","0","210","2933","564","1230","542","1703","864","169","156","1534","861","7571","696","2660","488","2507","599","153","318","153","318","0","210","4911","563","2876","831","2035","520","292","270","1743","574"
"0500000US37179","Union County, North Carolina","26958","*****","13572","*****","5349","*****","4980","465","369","465","0","210","369","465","8223","*****","2391","718","5832","718","738","326","5094","726","13386","*****","5312","*****","4998","417","314","418","23","38","291","418","8074","*****","3169","904","4905","904","968","499","3937","842"
"0500000US37191","Wayne County, North Carolina","15211","*****","8140","595","3396","497","3213","471","183","235","0","210","183","235","4744","330","1603","561","3141","526","525","346","2616","600","7071","595","2920","497","2873","522","47","88","0","210","47","88","4151","330","1116","598","3035","556","249","251","2786","416"
"0500000US37147","Pitt County, North Carolina","11419","*****","5328","370","2047","376","2047","376","0","210","0","210","0","210","3281","93","1619","844","1662","843","409","347","1253","731","6091","370","2150","375","1832","774","318","461","0","210","318","461","3941","92","2139","837","1802","840","813","640","989","516"
"0400000US37","North Carolina","995529","373","513867","4799","197722","4184","184726","5088","12996","2479","1663","757","11333","2347","316145","3168","124008","5376","192137","5713","40680","3763","151457","5586","481662","4866","183299","3900","171880","4659","11419","2428","1391","810","10028","2233","298363","2780","125409","5679","172954","5640","47844","3815","125110","5571"
